Above Expectations LLC,https://above-expectations.com/,(302) 502-5301,Kent 
Chimes Delaware,https://chimes.org/about/chimes-family/chimes-de/,(302) 452-3400,"New Castle, Kent, Sussex"
"Community Systems, Inc.",https://communitysystems.org/,(302) 325-1500,New Castle
"Community Systems, Inc.",https://communitysystems.org/,(302) 325-1500,New Castle
The Salvation Army,https://pa.salvationarmy.org/delaware-command/A84B603E183721CC85257B8D00152AB0,(302) 934-3730,Sussex
Point of Hope,https://point-of-hope.com/,(302) 731-7676,"New Castle, Kent, Sussex"
Rising Sun ,https://risingsundelaware.com/,(302) 538-6779,Kent
Rising Sun ,https://risingsundelaware.com/,(302) 538-6779,Kent
"TOBOLA Health Care Services, Inc.",https://tobolainc.com/,(302) 389-8448,"New Castle, Kent, Sussex"
TOBOLA Health Care Services Inc.,https://tobolainc.com/,(302) 389-8448,"New Castle, Kent, Sussex"
Bancroft Neurohealth ,https://www.bancroft.org/,(302) 691-8636,New Castle 
Choices for Community Living,https://www.ccldelaware.org/,(302) 667-1375,"New Castle, Kent, Sussex"
Community Interactions,https://www.ciinc.org/,(302) 993-7846,New Castle
Delmarva Community Services ,https://www.dcsdct.org/,(800) 439-1222,"Kent, Sussex"
Edlyncare LLC,https://www.edlyncare.com,(302) 376-6279,"Kent, Sussex"
"Edlyncare, LLC",https://www.edlyncare.com,(302) 376-6279,"Kent, Sussex"
"First State Residential Living, LLC",https://www.firststateresidential.com/,(302) 322-2743,"New Castle, Kent"
"First State Residential Living, LLC",https://www.firststateresidential.com/,(302) 322-2743,"New Castle, Kent"
"Hope Community Services, Inc",https://www.hopedelaware.com/,(302) 988-4491,New Castle 
"Hope Community Services, Inc.",https://www.hopedelaware.com/,(302) 988-4491,New Castle 
"KenCrest Services Systems, Inc.",https://www.kencrest.org/,(302) 734-3800,"New Castle, Kent, Sussex"
Keystone Human Services Mid Atlantic,https://www.keystonehumanservices.org/,(302) 286-7234,New Castle
Merakey Allos ,https://www.merakey.org/,(302) 325-3540,"New Castle, Kent, Sussex"
Mosaic of Delaware,https://www.mosaicinfo.org/locations/delaware/all-de/,(302) 456-5995,New Castle
Mosaic of Delaware,https://www.mosaicinfo.org/locations/delaware/all-de/,(302) 456-5995,New Castle
Passavant Memorial Homes,https://www.pmhfos.org/,(412)820-1015 ext 619,New Castle
Quality Management Associates ,https://www.qmainc.com/,(302) 358-0210,"New Castle, Kent"
Resources for Human Development ,https://www.rhd.org/,(302) 731-4570 ,New Castle
"Sea Care, LLC",https://www.seacarede.com/,(302) 933-0406,"Kent, Sussex"
St. John’s Community Services,https://www.sjcs.org/,(302) 294-1580,"New Castle, Kent, Sussex"
Delaware Mentor,https://www.thementornetwork.com/,(302) 934-0512,"New Castle, Kent, Sussex"
Name,Website,Phone,Counties
"Village of Hope America, Inc. ",www.vohamerica.org,(302) 279-0406,"New Castle, Kent, Sussex "
"Village of Hope America, Inc.",www.vohamerica.org,(302) 279-0406,"New Castle, Kent, Sussex "
Conexio Care,,(302) 984-3380,"New Castle, Kent, Sussex"
"Grace Residential Services, LLC",,(443) 677-5135,"New Castle, Kent"
"Shujaa Healthcare Services, LLC",,(302) 229-2168,New Castle
"Grace Residential, LLC",,(443) 677-5135,"New Castle, Kent"
"Shujaa Healthcare Services, LLC",,(302) 229-2168,New Castle
