Name,Website,Phone,Counties,Company Domain Name
Bancroft Neurohealth ,https://www.bancroft.org/,(302) 691-8636,New Castle ,bancroft.org
Choices for Community Living,https://www.ccldelaware.org/,(302) 667-1375,"New Castle, Kent, Sussex",ccldelaware.org
Chimes Delaware,https://chimes.org/about/chimes-family/chimes-de/,(302) 452-3400,"New Castle, Kent, Sussex",chimes.org
Community Interactions,https://www.ciinc.org/,(302) 993-7846,New Castle,ciinc.org
"Community Systems, Inc.",https://communitysystems.org/,(302) 325-1500,New Castle,communitysystems.org
Delmarva Community Services ,https://www.dcsdct.org/,(800) 439-1222,"Kent, Sussex",dcsdct.org
Edlyncare LLC,https://www.edlyncare.com,(302) 376-6279,"Kent, Sussex",edlyncare.com
"First State Residential Living, LLC",https://www.firststateresidential.com/,(302) 322-2743,"New Castle, Kent",firststateresidential.com
"Hope Community Services, Inc",https://www.hopedelaware.com/,(302) 988-4491,New Castle ,hopedelaware.com
"KenCrest Services Systems, Inc.",https://www.kencrest.org/,(302) 734-3800,"New Castle, Kent, Sussex",kencrest.org
Keystone Human Services Mid Atlantic,https://www.keystonehumanservices.org/,(302) 286-7234,New Castle,keystonehumanservices.org
Merakey Allos ,https://www.merakey.org/,(302) 325-3540,"New Castle, Kent, Sussex",merakey.org
Mosaic of Delaware,https://www.mosaicinfo.org/locations/delaware/all-de/,(302) 456-5995,New Castle,mosaicinfo.org
Passavant Memorial Homes,https://www.pmhfos.org/,(412)820-1015 ext 619,New Castle,pmhfos.org
Point of Hope,https://point-of-hope.com/,(302) 731-7676,"New Castle, Kent, Sussex",point-of-hope.com
Quality Management Associates ,https://www.qmainc.com/,(302) 358-0210,"New Castle, Kent",qmainc.com
Resources for Human Development - DE,https://www.rhd.org/,(302) 731-4570 ,New Castle,
Rising Sun ,https://risingsundelaware.com/,(302) 538-6779,Kent,risingsundelaware.com
The Salvation Army,https://pa.salvationarmy.org/delaware-command/A84B603E183721CC85257B8D00152AB0,(302) 934-3730,Sussex,salvationarmy.org
"Sea Care, LLC",https://www.seacarede.com/,(302) 933-0406,"Kent, Sussex",seacarede.com
St. John’s Community Services,https://www.sjcs.org/,(302) 294-1580,"New Castle, Kent, Sussex",sjcs.org
Delaware Mentor,https://www.thementornetwork.com/,(302) 934-0512,"New Castle, Kent, Sussex",
"TOBOLA Health Care Services, Inc.",https://tobolainc.com/,(302) 389-8448,"New Castle, Kent, Sussex",tobolainc.com
"Village of Hope America, Inc. ",www.vohamerica.org,(302) 279-0406,"New Castle, Kent, Sussex ",vohamerica.org
