HS Number,Name,Address,City,State,Zip,Primary Identifier,Website,Contacts
7609491478,"Volunteers of America Southeast (GA, AL, Miss)",1204 Hillcrest Road,Mobile,AL,36695,Prospect,voase.org,6
8725635507,The Opportunity Tree,3146 E. Windsor Avenue,Phoenix,AZ,85008,Pipeline,https://theopportunitytree.org/services/residential-services/,5
9072880701,NEW FAC - AIRES TUCSON (AZ),824 E FT LOWELL RD,TUCSON,AZ,85719,Client,,0
31198671726,Quality Connections,3012 E. Route 66,Flagstaff,AZ,86004,Prospect,qualityconnections.org,4
8725532761,"Creative Innervisions, LLC","4045 E. Union Hills Dr, Ste 106",Phoenix,AZ,85050,Pipeline,www.creativeinnervisions.org,6
9072494964,AIRES SIERRA VISTA(AZ)*NO THUR,4226 AVENIDA COCHISE,SIERRA VISTA,AZ,85635,Client,,0
9072581155,COMM OPT TUCSON (AZ),1661 N SWAN RD,TUCSON,AZ,85712,Client,,0
23587057188,Meaningful Life Behavioral Health,4305 Stockton Hill Road,Kingman,AZ,86409,Prospect,www.meaningfullifebehavioralhealth.com,3
9418741653,Treasure House,7815 W Aspera Blvd,Glendale,AZ,85308,Prospect,www.treasurehouse.org,4
23587056665,"Esemonu's Group Homes,",5727 North Black Canyon Highway,phoenix,AZ,85015,Prospect,esemonusgrouphomes.com,0
9072942176,COMMUNITY OPT GREATER PHX (AZ),7910 S KYRENE ROAD,TEMPE,AZ,85284,Client,,0
28918158007,Developmental Enrichment Centers,16809 North 53rd Avenue,Glendale,AZ,85306,Prospect,dec-az.com,2
9072604320,AIRES CG KRYSTAL (AZ),1641 E KRYSTAL ST,CASA GRANDE,AZ,85122,Client,,0
9072916062,AIRES CG WILDFLOWER (AZ),631 W PRICKLY PEAR DR,CASA GRANDE,AZ,85122,Client,,0
7610949185,AIRES CG CASA BONITA (AZ),510 E RACINE PLACE,CASA GRANDE,AZ,85122,Client,aires.org,40
32453282865,TLC Supported Living Services of Arizona,4520 N. 12th Street Ste 201,Phoenix,AZ,85014,Prospect,tlchomesaz.com,0
26120068203,Brighter Heights Arizona,2517 North Great Western Drive,Prescott Valley,AZ,86314,Prospect,bh-arizona.com,4
25141051421,New Horizon Community Care,625 S Ash Ave #j2,Tempe,AZ,85282,Prospect,www.nhccservices.org,1
23620735243,VEMA,11225 North 28th Drive,Phoenix,AZ,85029,Prospect,vemacares.com,0
23587057281,Our Choice Human Services,370 East 24th Street,Yuma,AZ,85364,Prospect,ochslife.com,1
23589685671,LOU,5460 E Commerce Ave,Flagstaff,AZ,86004,Prospect,loucorp.com,1
23587056980,Legend DDD Services,8777 East Vía de Ventura,Scottsdale,AZ,85258,Prospect,legenddddservices.com,0
23587056788,HEART TO HEART BEHAVIORAL HEALTH GROUP HOME,8535 West Palm Lane,Phoenix,AZ,85037,Prospect,hearttoheartgrouphome.com,0
23589684902,Care and Dignity Services,8222 South 48th Street Suite 225,Phoenix,AZ,85051,Prospect,carendignity.com,0
23587039880,"Bethany Ranch Home,",6130 North 16th Street,Phoenix,AZ,85016,Prospect,bethanyranchhome.org,0
23589667747,ADAS - ADAMA DEVELOPMENTAL ASSISTANCE & SUPPORT,1225 N 28th Dr STE C212,Glendale,AZ,85305,Prospect,adas-adama.com,0
23142248797,Abrio Living,3710 W Greenway Rd Suite 101,Phoenix,AZ,85053,Prospect,abrioliving.com,2
10249424526,NEW FAC - PPEP TUCSON (AZ),901 E 46TH ST,TUCSON,AZ,85713,Client,,0
10250208035,NEW FAC -PPEP CASA GRANDE (AZ),1729 N TREKELL RD,CASA GRANDE,AZ,85122,Client,,0
9574327082,Mi Casa Su Casa,2228 W Northern Ave Ste B210,Phoenix,AZ,85021,Prospect,www.casa-az.com,0
9624147075,PPEP Integrated Care,376 South Hill Street,Globe,AZ,85501,Client,ppepintegratedcare.com,14
9536947464,Intermountain Ctrs,994 South Harrison Road,Tucson,AZ,85748,Prospect,ichd.net,6
9419557928,Inspiration of the Valley,2432 W Peoria Ave Ste 1160,Phoenix,AZ,85029,Prospect,www.inspirationaz.com,2
9419557918,AZMasquerade,1229 W Camino Mesa Sonorense,Sahuarita,AZ,85629,Prospect,www.azmasqueradellc.com,8
9419557891,NextStep Habilitation,8466 W Peoria Ave Ste 7,Peoria,AZ,85345,Prospect,www.nextstephab.com,1
9419557799,Sun Valley Recovery,2600 E Southern Ave Ste I3,Tempe,AZ,85281,Prospect,www.svrecoveryaz.com,0
9419557782,Life Challenge,341 W Mcdowell Rd,Phoenix,AZ,85003,Prospect,www.lifechallengeinc.com,0
9419199291,Living Fount Care,3131 Chisum Lane,Gilbert,AZ,85297,Prospect,www.livingfountcare.com,0
9419233960,Sunbelt Care Suites,925 N Stapley Dr.,Mesa,AZ,85203,Prospect,www.sunbeltcaresuites.com,0
33708912948,Goldensun,4444 W Vista Ave,Glendale,AZ,85301,Prospect,www.goldensunonline.org,1
9419234124,A Place All My Own,505 W Roma Ave,Phoenix,AZ,85013,Prospect,www.aplaceallmyownhealthcare.com,2
9419234091,Premier Arizona Care,2601 N 3rd St Ste 204,Phoenix,AZ,85004,Prospect,www.premierazcare.com,1
9419234050,TLC Services,123 N Centennial Way Ste 105,Mesa,AZ,85201,Prospect,www.tlccare.org,3
9419148547,AZ Families Co-op,5425 E Broadway Blvd 286,Tucson,AZ,85711,Prospect,www.azfamiliescoop.com,4
9419034777,Caring For Angels,13352 N 83rd Ave Ste A101,Peoria,AZ,85381,Prospect,http://www.caringforangels.com/home.html,1
9419034547,Unity,9059 W Lake Pleasant Pkwy Ste A180,Peoria,AZ,85382,Prospect,www.unity-llc.com,3
9419034534,Delnik Care,22818 W Ashleigh Marie Dr,Buckeye,AZ,85326,Prospect,www.delnikcares.com,1
9419034526,Dinled Citizens,PO Box 2320,Tuba City,AZ,86045,Prospect,www.dinebii.org,0
