Deal owner,Deal Name,Chain,Deal Stage,State,TTE Servicing Pharmacy,# Beds,Probability of Close,Go Live Date,Incumbent Pharmacy,Delivery Type Updated,Number of Delivery Locations,Comment,Pipeline Date,Record ID
Nanette Wrobel,Makom MD (142003),,Onboarding - Complete,MD,NJ,84,100%,10/1/2024,Local,one site for cycle,,will be shooting for July or August start date,,28304848734
Blaire Reed,Autism Treatment Center - DFW,ATC,Onboarding - Complete,TX,Austin,80,100%,12/1/2024,Hometown,Central Office,1,Moving back a month. Owners did not have data ready.,4/1/2024,28309847324
Deb Maloy,Community Living Experience (CLE) – Franklin (182220),,Onboarding - Complete,OH,Austin,58,100%,10/1/2024,Pharmerica,,,Called Donn and Becky-to send contract tomorrow (8/7).,,28310611799
Nanette Wrobel,"Progressive Housing, Inc",,Onboarding - Complete,IL,IL,64,100%,12/1/2024,Forum Pharmacy,TBD,,"Contract updated to start with 64 beds, rest to follow",2/1/2023,28303237261
Blaire Reed,Mary Lee Foundation,,Onboarding - Complete,TX,Austin,60,100%,12/1/2024,Northhill  (local),Central Office,1,Received signed agreement from DON Jayme,12/1/2023,28297359367
Mary Pelletier,ARC of Otsego County (362016),,Onboarding - Complete,NY,NJ,53,100%,10/1/2024,RiteAid retail,Courier,11,Signed contract in hand; roster and individual data send; Therap access being set up,3/28/2024,28299465535
Mary Pelletier,St. Vincent's Special Needs Services-Adult (part 2) (352038),,Onboarding - Complete,CT,CT,45,100%,10/1/2024,Seybridge,Courier,12,10.1 received signed agreement and completed onboarding call,,28297204370
Blaire Reed,McKinney Direct Care Services,,Onboarding - Complete,TX,Austin,42,100%,12/1/2024,Hometown,Central Office,1,Contract signed ,,28309074297
Adam Chittam,Vista Care – Part 1 - IL,VistaCare,Onboarding - Complete,IL,IL,13,100%,12/1/2024,Multiple local (30 different),,,"Meeting with CEO, Dir of Compliance & Nursing, and Nursing Manager on Fri 9/6.  They are working with Impruvon and interested in consolidating pharmacy services as their organization is growing",8/27/2024,28300922224
Deb Maloy,"Corvilla, Inc",,Onboarding - Complete,IN,Austin,35,100%,12/1/2024,Genoa,Central Office,1,Onboarding call complete 10/30/24,10/15/2024,28302617375
Mary Pelletier,MARC Community Resources,,Onboarding - Complete,CT,CT,31,100%,12/1/2024,Suburban,Courier,8,10.1 Received signed agreement; onboarding call completed 10.3; 4 IHS locations will have central delivery,4/20/2023,28308609363
Blaire Reed,Autism Treatment Center - San Antonio,ATC,Onboarding - Complete,TX,Austin,35,100%,12/1/2024,Omnicare,Central Office,1,Received signed agreement. Working to get out of Omnicare contract.,4/3/2023,28307467012
Blaire Reed,Calab Lubbock (7234),Calab,Onboarding - Complete,TX,Austin,28,100%,10/1/2024,Randol Mill,Central Office,1,Received signed agreement. Move to onboarding.,8/2/2024,28303703470
AJ Forster,Resources for Human Development (Mainstay United),RHD,Onboarding - Complete,PA,NJ,11,100%,12/1/2024,Local,Deliver-to-home,,On track for Dec transition.,,28309381496
Blaire Reed,Berry Family Services (2636),,Onboarding - Complete,TX,Austin,27,100%,10/1/2024,Local,Central Office,1,Received signed agreement. Move to onboarding.,7/12/2024,28300922227
Jess Jacobs,Open Doors - Bowling Green,,Onboarding - Complete,KY,Austin,25,100%,12/1/2024,Andies and local retail,FedEx,1,"onboarding call held, roster and MARs recieved",8/30/2024,28304320855
Blaire Reed,Amazing HCS (6113),,Onboarding - Complete,TX,Austin,22,100%,10/1/2024,MediRX,Central Office,1,Received signed agreement. Move to onboarding.,,28306089580
Marc Altholz,St John's (132005),,Onboarding - Complete,VA,Austin,19,100%,10/1/2024,Safe Dose,FedEx,1,"Presentation completed, contract signed with a ""go live' date of 10.1.24, Onboarding call happening either 8.30 or 9.2",8/23/2024,28305313143
AJ Forster,Resources for Human Development (Evergreen),RHD,Onboarding - Complete,PA,NJ,27,100%,12/1/2024,Local,Deliver-to-home,,On track for Dec transition.,,28310611807
Blaire Reed,A Diverse Family Austin HH (6115),,Onboarding - Complete,TX,Austin,20,100%,10/1/2024,,,,Additional 25 11/1 go live,8/30/2024,28307467010
Nanette Wrobel,Makom VA (132003),,Onboarding - Complete,VA,NJ,11,100%,10/1/2024,Local,one site for cycle,,will be shooting for July or August start date,5/1/2023,28301075581
AJ Forster,Resources for Human Development (Bloom),RHD,Onboarding - Complete,PA,NJ,25,100%,12/1/2024,Local,Deliver-to-home,,On track for Dec transition.,,28303703467
Deb Maloy,Community Living Experience (CLE) – Marion (182224),,Onboarding - Complete,OH,Austin,9,100%,10/1/2024,Pharmerica,,,Called Donn and Becky-to send contract tomorrow (8/7).,,28308918961
Deb Maloy,Community Living Experience (CLE) – Licking (182222),,Onboarding - Complete,OH,Austin,10,100%,10/1/2024,Pharmerica,,,Called Donn and Becky-to send contract tomorrow (8/7).,,28299465534
Deb Maloy,House of Pieces (182226),,Onboarding - Complete,OH,Austin,11,100%,10/1/2024,Hursch Pharmacy,,1,"Referred by friend-called, very iterested. Will send info and follow up.",8/29/2024,28308454918
Blaire Reed,29 Acres - Part 2 (6107),,Onboarding - Complete,TX,Austin,6,100%,10/1/2024,,,,additional entry for 10/1 with 12 individuals,8/30/2024,28300922232
Deb Maloy,CDS,,Onboarding - Complete,OH,Austin,8,100%,12/1/2024,Local,Central Office,1,Added for Jan 1 2025 Go Live,11/14/2024,29371103080
AJ Forster,Hudson Hill Group,,Onboarding - Complete,NJ,NJ,8,100%,12/1/2024,TBD,Deliver-to-home,2,Contacted through sales hotline,10/16/2023,28306089586
Deb Maloy,Transitional Lifestyles Community,,Onboarding - Complete,NM,Austin,7,100%,12/1/2024,Pharmcare,,1,"Onboarding call completed 10/30/24
",8/16/2024,28297204373
AJ Forster,Comfort Care Zone,,Onboarding - Complete,PA,NJ,5,100%,12/1/2024,CVS,Deliver- to -home,1,Contract signed,10/10/2024,28298846751
Nanette Wrobel,Futures Unlimited,,Onboarding - Complete,IL,IL,3,100%,10/1/2024,Local,Deliver to home,1,,,28302161983
Nanette Wrobel,Sheltered Village,,Sales - Initial Communication,IL,IL,80,10%,9/1/2025,Pharmacy Alternatives,,,meeting end of Jan 2025,1/23/2025,32533103409
Mary Pelletier,Catholic Charities Archdiocese of Hartford - New Deal,,Sales - Initial Communication,CT,CT,27,10%,9/1/2025,Genoa,courier,8,Genoa rents space from them to have brick and mortar and serves the Behavioral Health community and has providers in the building as well.,5/1/2023,32324669500
AJ Forster,First State Residential,,Sales - Presentation,DE,NJ,40,50%,4/1/2025,Meds Your Way,Fed-ex,8,DON reached out due to issues. Wants a presentation and to transition ASAP. He is aware of our services.,1/21/2025,32323845164
AJ Forster,LifePath Bucks,LifePath,Sales - Presentation,PA,NJ,50,30%,3/1/2025,PDC,Courier,10,"CEO Organized meeting with Regional Director Julie due to issues with PDC. 1/23
",1/21/2025,32323635249
