Company name,Record ID
A & E Homes Inc,26932487578
A.B.L.E. Inc,26928251217
ABH Homes,26921301671
Ability Building Center Inc,26922866959
Above & Beyond Resources Inc,26930335519
Access Of The Red River Valley Inc,26920991822
Accessible Space Inc,26923021974
Accord,26929552739
Achieving Independence Inc,26919598241
ACR Healthcare Services LLC,26922540063
ACR Homes Inc,26925252913
Actively Living Life Inc,26921766039
Acute Home Health Care of MN,26928715265
Adapta,26916351879
Agile Partners - Inc.dbaThe Family Concept,26928405596
Alana S Fiala,26927786578
ALC Homes Inc,26927011988
Aldrich Boarding Care Home LLC,26932707596
Alluma Inc,26929708175
Alongside Services II,26921766040
Alpha Services Company of Rochester,26926857008
Alternatives for People with Autism Inc,26928405592
Amanicare Services,26921146253
AMAS Incorporated,26919907967
AME Community Services Inc,26917521434
American Baptist Homes,26926646812
Anderson Family Homes,LLC,26926857007
Approach Enterprises L.L.C,26923021978
ARCH of Pine City, Inc,26928405591
Arrowhead House Foster Care LLC,26929088086
ARSYS Attn: Kevin Ward,26930490171
Artesian Homes LLC,26926646811
At Home Living Facilities Inc,26918979117
At Home Living Facilities Metro Inc,26920527129
Aveyron Homes, Inc.,26923640996
Axis Alternatives Inc,26929862245
Bailey Homes,26925252911
Barbara Ellen Wokasch AND Michael Duane Wokasch,26924943178
Basem Anwar Alshormani,26932177939
Beacon Specialized Living Minnesota Inc,26921920945
Bear Creek Services Inc.,26922385278
Berget Foster Care,26928870573
Bethesda Lutheran Communities,26920836781
Better Avenues Inc,26927786577
Beyond Homecare Inc,26932177942
Blue Sky Inc,26920836779
Bluewater Residential Services LLC,26933015972
Bridge Gap Inc,26928405593
Bridges 507, LLC,26928715193
Bridget F Seeland,26923795995
Building Hope Inc,26928096257
Bumblebee Haven,26918514533
Camphill Village Minnesota Inc,26925097859
Cardinal of Minnesota Ltd,26925407826
Care Force Homes, Inc,26921766036
Catholic Charities Of The Diocese Of St Cloud,26926336564
CCRI, Inc.,26930180631
Cedar Valley Homes, Inc,26923021976
Cedar Valley Services Inc,26923640998
Cenneidigh Inc,26923641000
Chez Nous,26928251218
Clare Housing, Inc.,26924260138
Clark Lake Homes, Inc.,26919288688
Cobbo Inc,26920062861
Commissioner of Department of Human Services,26919133582
Community Alternative Plans Inc,26924788528
Community Health Awareness Center, Inc.,26930644882
Community Living Alternatives,26919598238
Community Living Options Inc,26926857010
Community Options & Resources,26925872699
Companion Housing Program Inc,26932177937
Companion Linc LLC,26925252915
Comprehensive Services, Inc.,26918049953
Confident Care LLC,26933015968
Connections,26927167133
Connections Inc,26919133583
Country Lane Homes Gull River LLC,26919752989
Country Lane Homes of Central Minnesota Inc,26918204848
Country Lane Homes of Poplar Dr LLC,26919752988
Covenant Enabling Residence,26915410266
Crawford House LLC,26928560148
Creative Care Resources,26923021975
Crows Nest Programs, Inc.,26917740080
Cultural Home Inc,26929243212
Dependable Home Healthcare Inc,26920681886
DeRungs/Bonk AFC Inc,26927167131
Developmental Services Inc,26928560149
Disability Resource Inc,26921301670
Diversified Life Styles, Inc.,26918979121
Divine House Inc,26923331727
Duluth Regional Care Center, Inc.,26918824219
Dungarvin Minnesota LLC,26918669085
Eagles Wing Inc,26915410264
EBI Inc,26927631890
Eighth Street House, LLC,26928560152
ELM: Waseca County SLS, Inc.,26926181952
Emmanuel Tim Boh,26924478617
Empower SLS, Inc.,26924105514
Empowerment Services of Minnesota,26916197417
Enrich Inc.,26920062862
Enriched Living LLC,26917894817
EON Inc,26919598237
Episcopal Group Homes Inc,26925872700
Essential Kare Inc,26922712096
Eveleth Residence LLC,26923950722
Everyday Living,26933015974
Excellent Care Services,26923021977
Expanding Horizons Inc,26924105517
Facing New Horizons (FNH), Inc,26919907963
Family Counseling & Extended Services Inc,26926646810
Family Freedom Corporation,26932861354
Focus On Living,26929708177
Forward Focused Living,26918979119
Fourth Avenue Homes Inc,26926646807
Fraser,26929552737
Gateway Residential Services Inc,26923486801
Gayle Koop Foster Care,26918824217
GDC Health Services,26920062864
Genesis Group Homes, Inc,26918204849
GJ Destiny Adult Foster Home,26933015969
Glendalough of Austin, Inc.,26929088089
Goal Oriented Assisted Living Inc,26917894815
Goodness and Mercy Health Services Inc,26918204846
Grace Lyn Group, Inc. Attn: Nauth Lynn P,26922385280
Grandview Estates,26924633474
Granite Care Inc,26926646809
Granite House, Inc.,26923486800
Great River Homes Inc,26923176620
Griffin Support Services Inc,26918979115
Grove Homes Inc,26919907965
Guided Transitions LLC,26930180635
Habilitative Services LLC,26930025335
