name,organization,address,city,state,zip,county,beds,category,type,total_bed_count,total_resident_count,icf_idd,license_number
Poplar Street Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,6,IID,Residential,6,6,TRUE,MHL-001-007
"Ralph Scott Lifeservices, Inc.","Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,6,IID,Residential,6,6,TRUE,MHL-001-008
Crestview Group Home #2,"Residential Treatment Services of Alamance, Inc.",P  O Box 427,Burlington,NC,27216,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-014
Hall Avenue Facility,"Residential Treatment Services of Alamance, Inc.",P.O. Box 427,Burlington,NC,27216,Alamance,4,SUD,Residential,27,27,FALSE,MHL-001-016
Hall Avenue Facility,"Residential Treatment Services of Alamance, Inc.",P.O. Box 427,Burlington,NC,27216,Alamance,8,MI,Residential,27,27,FALSE,MHL-001-016
Hall Avenue Facility,"Residential Treatment Services of Alamance, Inc.",P.O. Box 427,Burlington,NC,27216,Alamance,15,SUD,Residential,27,27,FALSE,MHL-001-016
"Ralph Scott Lifeservices, inc.-Laramie Drive Group Home","Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,6,IID,Residential,6,6,TRUE,MHL-001-027
"Ralph Scott Lifeservices, Inc./Veterans Drive","Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,6,IID,Residential,6,6,TRUE,MHL-001-030
"Ralph Scott Lifeservices, Inc./Rosemont Street","Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27249,Alamance,6,IID,Residential,6,6,TRUE,MHL-001-031
Crestview Group Home,"Residential Treatment Services of Alamance, Inc.",PO Box 427,Burlington,NC,27216,Alamance,6,MI,Residential,6,6,FALSE,MHL-001-070
L & J Homes,"L & J Homes, Inc.",PO Box 2273,Burlington,NC,27217,Alamance,3,IID,Residential,3,3,FALSE,MHL-001-073
Cozie's Supervised Living,"Cozie's Supervised Living, Inc.",3341 Oak Tree Lane,Liberty,NC,27298,Alamance,4,IID,Residential,4,4,FALSE,MHL-001-074
West Hillcrest DDA Home,Sheila C. Smith,925 South Church Street,Burlington,NC,27215,Alamance,6,IID,Residential,6,5,FALSE,MHL-001-081
Cedars DDA  Group Home,Faiger Blackwell,838 Ross Street,Burlington,NC,27217,Alamance,8,IID,Residential,8,6,FALSE,MHL-001-083
Sixth Street D.D.A. Group Home,Curtis E. Torain,313 E. Sixth Street,Burlington,NC,27215,Alamance,9,IID,Residential,9,8,FALSE,MHL-001-085
Haw River Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,6,IID,Residential,6,6,FALSE,MHL-001-086
Lakeside Avenue Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,6,IID,Residential,6,4,FALSE,MHL-001-087
Huffines Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27215,Alamance,6,IID,Residential,6,4,FALSE,MHL-001-088
Aspen Court Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,6,IID,Residential,6,6,FALSE,MHL-001-090
McPherson Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,6,IID,Residential,6,4,FALSE,MHL-001-091
North Mebane Street Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,5,IID,Residential,5,5,FALSE,MHL-001-092
Second Street Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,5,IID,Residential,5,4,FALSE,MHL-001-093
Spring Hill Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade St,Burlington,NC,27217,Alamance,6,IID,Residential,6,4,FALSE,MHL-001-094
Williamson Avenue Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,5,IID,Residential,5,5,FALSE,MHL-001-095
Wildwood Lane Group Home,"Ralph Scott Lifeservices, Inc.",408 West Trade Street,Burlington,NC,27217,Alamance,6,IID,Residential,6,6,FALSE,MHL-001-096
Falcon Crest Residential Care 3 Inc.,Falcon Crest Residential Care Inc.,P.O. Box 1670,Mebane,NC,27302,Alamance,4,MI,Residential,4,4,FALSE,MHL-001-103
