name,address,city,state,zip,county,email,phone
1st  Cerebral Palsy Of NJ,7 Sanford Avenue,Belleville,NJ,7109,Essex,dddinfo@cerebralpalsycenter.org,
21 Plus Inc.,310 Main Street,Toms River,NJ,8753,Ocean,rsantoriello@21plus.org,732.341.0863 x 225
21 Plus Inc.,"1900 Route 70,Suite 13",Manchester,NJ,8759,Ocean,rsantoriello@21plus.org,732.364.0555 x 225
21 Plus Inc.,"1900 Route 70,Suite 12",Manchester,NJ,8759,Ocean,rsantoriello@21plus.org,732.240.3118 x 225
A.W. Holdings,2556 Mart Ave.,Vineland,NJ,8361,Cumberland,info.nj@benchmarkhs.com,
A.W. Holdings,1940 S West Blvd,Vineland,NJ,8360,Cumberland,info.nj@benchmarkhs.com,856.457.8001 x 0
A.W. Holdings,"617 Auburn Road - Sweedsboro,Ste 101",Swedesboro,NJ,8085,Gloucester,info.nj@benchmarkhs.com,
A.W. Holdings,2384 Landis Ave,Vineland,NJ,8361,Cumberland,info.nj@benchmarkhs.com,
A.W. Holdings,2384 Landis Ave,Vineland,NJ,8361,Cumberland,info.nj@benchmarkhs.com,
A.W. Holdings,3322 Route 22 West,Branchburg,NJ,8876,Somerset,info.nj@benchmarkhs.com,908.829.3553 x 0
A.W. Holdings,3455 State Route 66 Ste 3A,Neptune,NJ,4075,Monmouth,info.nj@benchmarkhs.com,260.744.6145 x 0
Ablelight Inc,1069 Ringwood Ave Ste 301-22,Haskell,NJ,3856,Passaic,AbleLight.NewJersey@ablelight.org,973.831.4088 x 0
"ADEPT Programs, Inc.",111 High St,Mount Holly,NJ,8060,Burlington,mainoffice@adeptprograms.com,
Advancing Opportunities,610 Beverly-Rancocas,Willingboro,NJ,8046,Mercer,info@cpofnj.org,609.882.4182 x 0
ALFA Development Inc.,2950 Route 23,Newfoundland,NJ,3869,Passaic,IRECORD@ALFADEVELOPMENT.ORG,973.697.1010 x 0
ALFA Development Inc.,39 Oak Ridge Rd,Newfoundland,NJ,3869,Passaic,IRECORD@ALFADEVELOPMENT.ORG,
Alfa Services,10 Lakeside Avenue,Cherry Hill,NJ,8003,Camden,alfaservices17@gmail.com,856.428.1101 x 0
