Name,Address,City,State ,Zip,Services,Phone,Counties Served
ResCare Community Living - Phoenix Arizona,"21410 N 19th Avenue, Suite 118",Phoenix,AZ,85027,GH,(623) 434-8579,"Gila, Maricopa, Mohave, Pima, Pinal, Yavapai"
ResCare Community Liviing - Clearwater Florida,3488 E Lake Road Suite 203,Palm Harbor,FL,34685,HH/ ICF,(727) 793-0500,"Hernando, Hillsborough, Manatee, Orange, Pasco, Pinellas, Seminole"
ResCare community Living Gainesville Florida,5915 NW 39th Ave,Gainesville,FL,32606,HH/ ICF,(352) 378-2040,"Alachua, Flagler, Gilchrist, Levy, Putnam"
"Rescare Community Living - Lake City, Florida",673 NW Cluster Dr,Lake City,FL,32055,HH/ ICF,(386) 755-6104,"Duval, Columbia"
Resare Community Living - Ocala Florida,3205 Se 17th Street,Ocala,FL,34471,HH/ ICF,(352) 694-1114,"Brevard, Citrus, Marion, Sumter Lake, Volusia"
Rescare Community Living - Panama City Florida,2681 Jenks Ave,Panama City ,FL,32405,HH/ SLS,(850) 890-2995,"Bay, Walton"
Rescare Community Living - Athens Georgia,1551 Jennings Mill Road,Watkinsville,GA,30677,GH/ HH,(706) 549-0349,"Athens-Clarke, Barrow, Gwinnett, Walton"
Rescare Community Living - Atlanta Georga,22960Henderson Mill Rd,Atlanta,GA,30345,GH/ HH,(770) 908- 2481,"Cobb, DeKalb, Fulton, Gwinnett, Muskogee"
Rescare Community Living - Augusta  Georgia ,2608 Commons Blvd Suite A ,Augusta ,GA,30909,GH/ HH,(706) 868-2977,"Burke, Columbia, Richmond"
ResCare Community Living - Columbus Georgia ,5651 Whitesville Rd Suite 109/110,Columbus,GA,31904,HH,(706) 596-1550,"Harris, Muskogee, Talbot"
RescCare Community Living - Rome Georgia,409 A E 2nd St,Rome,GA,30161,GH/ HH,(706) 295-3667,"Floyd, Gilmer"
ResCare Community Living - Valdosta Georgia,2110 N Patterson St,Valdosta,GA,31602,GH/ HH,(229) 244-5263,"Berrian, Brooks, Chatham, Clinch, Colquitt, Cook, Decatur, Dougherty, Early, Echols, Grady, Lanier, Lowndes, Miller, Mitchell, Tift, Thomas, Seminole, Worth"
Community Alternatives of Illinois - Bourbonnais,14 Heritage Dr,Bourbonnais,IL,60915,GH/ HH,(815) 936-7124,Kankakee
Community Alternatives of Illinois- Carbondale,2015 W Main St,Carbondale,IL,62901,GH/ HH,(618) 549-9908,"Jackson, Union"
Community Alternatives of Illinois- Centralia,109 E Broadway,Centralia,IL,62801,GH/ HH,(618) 533-3061,"Clinton, Jefferson, Marion, Washington"
Community Alternatives of Illinois Olney,205 E Main Suite A,Olney,IL,62450,GH/ HH,(618) 395- 7190,"Clay, Lawrence, Richland"
Community Alternatives Of Illinois - Tilton,1630 Georgetown Rd,Tilton,Il,61833,GH/ HH,(217) 443-4123,Vermillion
ResCare Community Living - Bedford Indiana,1919 Steven Ave,Bedford,IN,47412,GH/ HH,(812) 218-0200,"Greene, Lawrence, Martin, Monroe, Owen"
ResCare Community Living - Community Alternatives Southeast ,4341 Security Parkway Suite 101,New Albany,IN,47150,GH/ HH,(812) 218-0200,"Clark, Floyd, Harrison, Pike, Washington"
ResCare Community Living - Evansville Indiana,414 S Fares Avenue,Evansville,IN,47714,GH/ HH,(812) 433-3535,"Gibson Posey, Vanderburgh, Warrick"
ResCare Community Living - Fort Wayne Indiana,4410 Executive Boulevard,Fort Wayne,IN,46808,GH/ HH,(260) 490-3230,"Adams, Allen, Blackford, DeKalb, Elkhart, Fulton, Huntington, Jasper, Jay, Kosciusko, LaGrange, Lake, LaPorte, Madison, Marshall, Newton, Noble, Porter, Pulaski, Starke, St. Joseph, Steuben, Wabash, Wells, Whitley"
ResCare Community Living - Greencastle Indiana,1306 S Bloomington St,Greencastle,IN,46135,HH,(765) 653-04570,"Montgomery, Putnam"
ResCare Community Living - Indianapolis Indiana,8041 Knue Rd,Indianapolis,IN,46250,GH/ HH,(317) 570-5903,"Fayette, Franklin, Hancock, Hendricks, Henry, Johnson, Marion, Morgan, Randolph, Rush, Shelby, Union, Wayne"
ResCare Community Living - Jasper Indiana,4342 US Highway 231,Jasper,IN,47546,GH/ HH,(812) 482-2598,"Crawford, Daviess, Dubois, Orange, Perry, Spencer"
ResCare Community Living - Marion Indiana,1800 W Kem Rd,Marion,IN,46952,HH,(765) 664-0612,"Grant, Delaware"
ResCare Community Living - North Vernon Indiana,1200 W O&M Ave ,North Vernon,IN,47265,GH/ HH,(812) 352-6220,"Bartholomew, Brown, Dearborn, Decatur, Jackson, Jefferson, Jennings, Ohio, Ripley, Scott, Switzerland"
ResCare Community Living - Sheridan Indiana,903 S Sheridan Ave,Sheridan,IN,46069,HH,(317) 758-5330,"Boone, Carroll, Cass, Clinton, Hamilton, Howard, Miami, Tippecanoe, Tipton, White"
ResCare Community Living - Terre Haute Indiana,631 N 2nd St,Terre Haute,IN,47807,GH/ HH,(812) 234-3454,"Clay, Daviess, Greene, Knox, Martin, Owen, Parke, Putnam, Sullivan, Vermillion, Vigo"
ResCare Community Living - Valpraraiso Indiana,1620 Country Club Rd Suite D,Valparaiso,IN,46383,HH,(219) 462-1096,"Elkhart, Jasper, Kosciusko, Lake, LaPorte, Marshall, Newton, Porter, Pulaski, Starke, St. Joseph"
