name,label,type,fieldType,groupName,date,objectType
What would improve future presentations?,What would improve future presentations?,string,text,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
What did you like best about the presentation?,What did you like best about the presentation?,string,text,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
What information would you like to see at future presentations?,What information would you like to see at future presentations?,string,text,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
How did you hear about this presentation?,How did you hear about this presentation?,string,text,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
Other Comments,Other Comments,string,textarea,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
Were the facilities conducive to learning,Were the facilities conducive to learning,enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
The outcomes were met as stated,The outcomes were met as stated,enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
The presentation met my expectations,The presentation met my expectations,enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
The presentation will improve my practice and patient care,The presentation will improve my practice and patient care,enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
I will attend future programs offered by the sponsor,I will attend future programs offered by the sponsor,enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
I would recommend this training program to others,I would recommend this training program to others,enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
Teaching effectiveness,Teaching effectiveness,enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
The presenter answered questions effectively,The presenter answered questions effectively,enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
"Method of presentation effective (PowerPoint, lecture, webinar etc.)","Method of presentation effective (PowerPoint, lecture, webinar etc.)",enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
The presenter was knowledgeable about materials covered,The presenter was knowledgeable about materials covered,enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
Did you perceive commercial bias during this presentation,Did you perceive commercial bias during this presentation,enumeration,select,may_12_2023_customers_webinar_evaluation_questions,May 11 2023 Webinar,contacts
