Name,Region
1 Avon Street (OAK HILL) ,North
1 Hickory Hill Way (OAK HILL) ,North
1 Juniper Drive (OAK HILL),North
1 Sylvan Way (CREC)    ,North
"1 Westridge Drive (Key Service Systems, Inc.) ",North
"10 Homestead Drive (Journey Found, Inc.) ",North
10 Wappingwood Road (DDS)  ,North
"100 Oakwood Ave. Apt B-7 (RMS Development, Inc.) ",North
100 Valley Falls Road (OAK Hill),North
102 Harwinton Avenue (Marrakech Housing Options),North
"102 Jerry Daniels Road (Network, Inc.) ",North
1021 Maple Street (DDS) ,North
"103 Melrose Road (Options Unlimited, Inc.)  ",North
"104 Oakwood Ave. Apt A-3 (RMS Development, Inc.) ",North
"104 Oakwood Ave. Apt T-4 (RMS Development, Inc.) ",North
1069 Maple Street (DDS) ,North
"1074 North Main Street (RMS Development, Inc.)",North
108 Grissom Road (Journey Found) ,North
"11 Deerwood Drive (Network, Inc.)  ",North
11 Mexcur Drive(Journey Found),North
"11 Unionville Avenue (CCARC, In.)  ",North
11 West Meath Lane (OAK HILL),North
112 Field Road (Corporation For Public Management) ,North
"113 East Eldridge (Network, Inc.) ",North
"113 High Street (Community Residences, Inc.) ",North
115 Davis Road (OAK HILL),North
"116 Hawkins Street (Sunrise Northeast, Inc.) ",North
12 Quail Run (OAK HILL) ,North
120 Warren Avenue (Oak Hill) ,North
"122 Syracuse Street (Community Residences, Inc.) ",North
"124 Woodland Drive (Community Residences, Inc.) ",North
"125 Windham Road (Horizons, Inc.)  ",North
"126 Portman Street (Community Residences, Inc.) ",North
"126 Schofield Road (Whole Life, Inc.)",North
126 Spring Street (DDS) ,North
"127 Robin Road (Alternative Services, Inc.)",North
"1278 Mount Vernon Road (Continuum of Care, Inc.) ",North
1279 Stafford Road (DDS),North
"129 Hungerford Street (Humanidad, Inc.)  ",North
"130 Ralph Road (Sunrise Northeast, Inc.) ",North
"133 Kelsey Street (CCARC, Inc.)",North
"134 Pine Street (Sunrise Northeast, Inc.)",North
"135 Two Stone Dr. (RMS Development, Inc.) ",North
"136 Jones Drive (CCARC, Inc.)",North
"139 Estabrook Road (Sunset Hill, Inc.) ",North
"139 High Street (Whole Life, Inc.)",North
"14 Devin Way (Journey found, Inc.)",North
"14 Hilltop Drive (Network, Inc.) ",North
"14 Jeff Road (Network, Inc.)",North
"14 Middlefield Street (Network, Inc.)  ",North
"14 Plymouth Road (Catholic Charities Family Services, Inc.) ",North
"14 West Center Street (RMS Development, Inc.) ",North
"140 Merriman Road (Options Unlimited, Inc.)",North
"140 Porters Pass (NERS, Inc.)   ",North
"140 Trowbridge Road (Network, Inc.) ",North
142 Bear Swamp Road (OAK HILL),North
"142 Broad Street (Network, Inc.)  ",North
"142 Porters Pass (NERS, Inc.) ",North
"144 Prince Hill Road (Whole Life, Inc.)",North
"145 Center Road (Network, Inc.)",North
"147 Hartford Avenue (Journey Found, Inc.) ",North
1470 Farmington Avenue (MOSAIC)  ,North
"15 Applewood Road (Key Service Systems, Inc.) ",North
"15 Carriage Drive (MARC, Inc. of Manchester) ",North
15 Parkwood Drive (WILA),North
"150 Rocky Hill Avenue (CCARC, Inc.)",North
"154 Pinney Street (Whole Life, Inc.) ",North
"156 Nathan Hale Road (Whole Life, Inc.)  ",North
1579 North Street (VINFEN Connecticut) ,North
16 Forest Road (VINFEN Connecticut) ,North
"16 Scalise Drive (MARCH, Inc. of Manchester)",North
"16 Sunset Hill Road (FAVARH, Inc.) ",North
"16 West Center Street (RMS Development, Inc.) ",North
"160 Bryan Drive  (Journey found, Inc.) ",North
167 South Main Street (VINFEN Connecticut) ,North
167 Spring Street (VINFEN Connecticut),North
"1689 Asylum Avenue (HARC, Inc.)",North
"17 Talcott Road (Humanidad, Inc.)   ",North
"17 West Normandy Drive (Jewish Association for Community Living, Inc.)  ",North
"17 West Street (Network, Inc.)  ",North
"171 Bourbon Street (Prime Care, Inc.) ",North
"171 Mullen Hill Road (Whole Life, Inc.)",North
"171 Oakwood Drive (CCARC, Inc.)",North
"171 Ridgecrest Circle (Alternative Services, Inc.)",North
"172 Christian Hill Road (NEPS, Inc.) ",North
1761 Main Street (Corporation for Public Management) ,North
"18 Millbrook Lane (Continuum of Care, Inc.) ",North
"18 Thorne Road (RMS Development, Inc.) ",North
"180 Birch Street (Network, Inc.) ",North
"185 Pine Street, Apt. 703 (RMS Development, Inc.)",North
"185 Pine Street, Apt. 714 (RMS Development, Inc.)",North
"185 Pine Street, Apt. G008 (RMS Development, Inc.)",North
"185 Pine Street, Apt. G18 (RMS Development, Inc.)",North
"188 Hunter's Lane (RMS Development, Inc.) ",North
1899 Poquonock Avenue (VINFEN Connecticut) ,North
"190 E. Brittany Farms Road (Catholic Charities Family Services, Inc.) ",North
"191 Redstone Hill Road (Bristol ARC, Inc.)",North
1910 Mount Vernon Road (OAK HILL) ,North
"194 Putnam Turnpike (Whole Life, Inc.) ",North
"195 Brewster Road (Jewish Association for Community Living, Inc.)",North
"195 Sprucebrook Rd (RMS Development, Inc.)",North
2 Adams Road (OAK HILL) ,North
"2 Cedar Ridge Drive (Key Human Services, Inc.) ",North
"2 Chesbro Bridge House (Whole Life, Inc.) ",North
"20 Arapahoe Road (Jewish Association for Community Living, Inc.)  ",North
"20 Papermill Road (Network, Inc.) ",North
"200 John Olds Drive - Unit 111 (Journey Found, Inc.) ",North
"200 John Olds Drive - Unit 112 (Journey Found, Inc.) ",North
"201 Woodruff Street (The Arc of Southington, Inc.) ",North
"202 Hunter's Lane (RMS Development, Inc.) ",North
21 Lowrey Place (MOSAIC) ,North
"21 Norton Trail (Key Service Systems, Inc.) ",North
21 Rosewood Lane (OAK HILL)  ,North
210 Hayes Road (OAK Hill) ,North
"211 Covell Road (Sunrise Northeast, Inc.)  ",North
"22 Barbour Road (CCARC, Inc.) ",North
"22 Philmar Drive (Whole Life, Inc.) ",North
225 Duncaster Road (OAK HILL),North
"226 Roslyn Drive (Community Residences, Inc.)",North
227 Sam Greene Road (OAK HILL)   ,North
"23 Millbrook Circle (MARCH, Inc. of Manchester)",North
"23 Tamarack Road (Catholic Charities Family Services, Inc.) ",North
"232 Thornbush Road (RMS Development, Inc.) ",North
24 Evans Drive (OAK Hill) ,North
"24 Glenwood Drive (Prime Care, Inc.) ",North
242 Mountain Road (DDS) ,North
248 Ridgewood Road (RMS Development) ,North
"249 Chestnut Hill Road (Whole Life, Inc.) ",North
25 Center Street (VINFEN Connecticut) ,North
25 North Church Street (OAK HILL),North
25 Phelps Road (Allied Group),North
"25 Ruth Street (Network, Inc.) ",North
"25 Tamarack Road (Catholic Charities Family Services, Inc.)",North
"251 Osgood Avenue-A (CCARC, Inc.)",North
"251 Osgood Avenue-B (CCARC, Inc.)",North
"255 Avon Mountain Road (FAVARH, Inc.)",North
255 Tryon Road (The Caring Community) ,North
"26 Prospect Street (GHARC, Inc.)",North
"260 Grandview Terrace (Humanidad, Inc.) ",North
"260 South Street (Community Residences, Inc.)",North
"269 West Street (The Arc of Southington, Inc.) ",North
27 Center Street (VINFEN Connecticut) ,North
"27 Pleasant Road (Sunrise Northeast, Inc.)",North
"271 West Street (The Arc of Southington, Inc.) ",North
2716 Hebron Avenue (OAK HILL) ,North
272 Glendale Drive (MOSAIC),North
274 Brewster Road (Oak Hill),North
"28 Gorman Place (Prime Care, Inc.)  ",North
