1 Avon Street (OAK HILL) ,North,1 Avon Street ,OAK HILL) 
1 Hickory Hill Way (OAK HILL) ,North,1 Hickory Hill Way ,OAK HILL) 
1 Juniper Drive (OAK HILL),North,1 Juniper Drive ,OAK HILL)
1 Sylvan Way (CREC)    ,North,1 Sylvan Way ,CREC)    
"1 Westridge Drive (Key Service Systems, Inc.) ",North,1 Westridge Drive ,"Key Service Systems, Inc.) "
"10 Homestead Drive (Journey Found, Inc.) ",North,10 Homestead Drive ,"Journey Found, Inc.) "
10 Wappingwood Road (DDS)  ,North,10 Wappingwood Road ,DDS)  
"100 Oakwood Ave. Apt B-7 (RMS Development, Inc.) ",North,100 Oakwood Ave. Apt B-7 ,"RMS Development, Inc.) "
100 Valley Falls Road (OAK Hill),North,100 Valley Falls Road ,OAK Hill)
102 Harwinton Avenue (Marrakech Housing Options),North,102 Harwinton Avenue ,Marrakech Housing Options)
"102 Jerry Daniels Road (Network, Inc.) ",North,102 Jerry Daniels Road ,"Network, Inc.) "
1021 Maple Street (DDS) ,North,1021 Maple Street ,DDS) 
"103 Melrose Road (Options Unlimited, Inc.)  ",North,103 Melrose Road ,"Options Unlimited, Inc.)  "
"104 Oakwood Ave. Apt A-3 (RMS Development, Inc.) ",North,104 Oakwood Ave. Apt A-3 ,"RMS Development, Inc.) "
"104 Oakwood Ave. Apt T-4 (RMS Development, Inc.) ",North,104 Oakwood Ave. Apt T-4 ,"RMS Development, Inc.) "
1069 Maple Street (DDS) ,North,1069 Maple Street ,DDS) 
"1074 North Main Street (RMS Development, Inc.)",North,1074 North Main Street ,"RMS Development, Inc.)"
108 Grissom Road (Journey Found) ,North,108 Grissom Road ,Journey Found) 
"11 Deerwood Drive (Network, Inc.)  ",North,11 Deerwood Drive ,"Network, Inc.)  "
11 Mexcur Drive(Journey Found),North,11 Mexcur Drive,Journey Found)
"11 Unionville Avenue (CCARC, In.)  ",North,11 Unionville Avenue ,"CCARC, In.)  "
11 West Meath Lane (OAK HILL),North,11 West Meath Lane ,OAK HILL)
112 Field Road (Corporation For Public Management) ,North,112 Field Road ,Corporation For Public Management) 
"113 East Eldridge (Network, Inc.) ",North,113 East Eldridge ,"Network, Inc.) "
"113 High Street (Community Residences, Inc.) ",North,113 High Street ,"Community Residences, Inc.) "
115 Davis Road (OAK HILL),North,115 Davis Road ,OAK HILL)
"116 Hawkins Street (Sunrise Northeast, Inc.) ",North,116 Hawkins Street ,"Sunrise Northeast, Inc.) "
12 Quail Run (OAK HILL) ,North,12 Quail Run ,OAK HILL) 
120 Warren Avenue (Oak Hill) ,North,120 Warren Avenue ,Oak Hill) 
"122 Syracuse Street (Community Residences, Inc.) ",North,122 Syracuse Street ,"Community Residences, Inc.) "
"124 Woodland Drive (Community Residences, Inc.) ",North,124 Woodland Drive ,"Community Residences, Inc.) "
"125 Windham Road (Horizons, Inc.)  ",North,125 Windham Road ,"Horizons, Inc.)  "
"126 Portman Street (Community Residences, Inc.) ",North,126 Portman Street ,"Community Residences, Inc.) "
"126 Schofield Road (Whole Life, Inc.)",North,126 Schofield Road ,"Whole Life, Inc.)"
126 Spring Street (DDS) ,North,126 Spring Street ,DDS) 
"127 Robin Road (Alternative Services, Inc.)",North,127 Robin Road ,"Alternative Services, Inc.)"
"1278 Mount Vernon Road (Continuum of Care, Inc.) ",North,1278 Mount Vernon Road ,"Continuum of Care, Inc.) "
1279 Stafford Road (DDS),North,1279 Stafford Road ,DDS)
"129 Hungerford Street (Humanidad, Inc.)  ",North,129 Hungerford Street ,"Humanidad, Inc.)  "
"130 Ralph Road (Sunrise Northeast, Inc.) ",North,130 Ralph Road ,"Sunrise Northeast, Inc.) "
"133 Kelsey Street (CCARC, Inc.)",North,133 Kelsey Street ,"CCARC, Inc.)"
"134 Pine Street (Sunrise Northeast, Inc.)",North,134 Pine Street ,"Sunrise Northeast, Inc.)"
"135 Two Stone Dr. (RMS Development, Inc.) ",North,135 Two Stone Dr. ,"RMS Development, Inc.) "
"136 Jones Drive (CCARC, Inc.)",North,136 Jones Drive ,"CCARC, Inc.)"
"139 Estabrook Road (Sunset Hill, Inc.) ",North,139 Estabrook Road ,"Sunset Hill, Inc.) "
"139 High Street (Whole Life, Inc.)",North,139 High Street ,"Whole Life, Inc.)"
"14 Devin Way (Journey found, Inc.)",North,14 Devin Way ,"Journey found, Inc.)"
"14 Hilltop Drive (Network, Inc.) ",North,14 Hilltop Drive ,"Network, Inc.) "
"14 Jeff Road (Network, Inc.)",North,14 Jeff Road ,"Network, Inc.)"
"14 Middlefield Street (Network, Inc.)  ",North,14 Middlefield Street ,"Network, Inc.)  "
"14 Plymouth Road (Catholic Charities Family Services, Inc.) ",North,14 Plymouth Road ,"Catholic Charities Family Services, Inc.) "
"14 West Center Street (RMS Development, Inc.) ",North,14 West Center Street ,"RMS Development, Inc.) "
"140 Merriman Road (Options Unlimited, Inc.)",North,140 Merriman Road ,"Options Unlimited, Inc.)"
"140 Porters Pass (NERS, Inc.)   ",North,140 Porters Pass ,"NERS, Inc.)   "
"140 Trowbridge Road (Network, Inc.) ",North,140 Trowbridge Road ,"Network, Inc.) "
142 Bear Swamp Road (OAK HILL),North,142 Bear Swamp Road ,OAK HILL)
"142 Broad Street (Network, Inc.)  ",North,142 Broad Street ,"Network, Inc.)  "
"142 Porters Pass (NERS, Inc.) ",North,142 Porters Pass ,"NERS, Inc.) "
"144 Prince Hill Road (Whole Life, Inc.)",North,144 Prince Hill Road ,"Whole Life, Inc.)"
"145 Center Road (Network, Inc.)",North,145 Center Road ,"Network, Inc.)"
"147 Hartford Avenue (Journey Found, Inc.) ",North,147 Hartford Avenue ,"Journey Found, Inc.) "
1470 Farmington Avenue (MOSAIC)  ,North,1470 Farmington Avenue ,MOSAIC)  
"15 Applewood Road (Key Service Systems, Inc.) ",North,15 Applewood Road ,"Key Service Systems, Inc.) "
"15 Carriage Drive (MARC, Inc. of Manchester) ",North,15 Carriage Drive ,"MARC, Inc. of Manchester) "
15 Parkwood Drive (WILA),North,15 Parkwood Drive ,WILA)
"150 Rocky Hill Avenue (CCARC, Inc.)",North,150 Rocky Hill Avenue ,"CCARC, Inc.)"
"154 Pinney Street (Whole Life, Inc.) ",North,154 Pinney Street ,"Whole Life, Inc.) "
"156 Nathan Hale Road (Whole Life, Inc.)  ",North,156 Nathan Hale Road ,"Whole Life, Inc.)  "
1579 North Street (VINFEN Connecticut) ,North,1579 North Street ,VINFEN Connecticut) 
16 Forest Road (VINFEN Connecticut) ,North,16 Forest Road ,VINFEN Connecticut) 
"16 Scalise Drive (MARCH, Inc. of Manchester)",North,16 Scalise Drive ,"MARCH, Inc. of Manchester)"
"16 Sunset Hill Road (FAVARH, Inc.) ",North,16 Sunset Hill Road ,"FAVARH, Inc.) "
"16 West Center Street (RMS Development, Inc.) ",North,16 West Center Street ,"RMS Development, Inc.) "
"160 Bryan Drive  (Journey found, Inc.) ",North,160 Bryan Drive  ,"Journey found, Inc.) "
167 South Main Street (VINFEN Connecticut) ,North,167 South Main Street ,VINFEN Connecticut) 
167 Spring Street (VINFEN Connecticut),North,167 Spring Street ,VINFEN Connecticut)
"1689 Asylum Avenue (HARC, Inc.)",North,1689 Asylum Avenue ,"HARC, Inc.)"
"17 Talcott Road (Humanidad, Inc.)   ",North,17 Talcott Road ,"Humanidad, Inc.)   "
"17 West Normandy Drive (Jewish Association for Community Living, Inc.)  ",North,17 West Normandy Drive ,"Jewish Association for Community Living, Inc.)  "
"17 West Street (Network, Inc.)  ",North,17 West Street ,"Network, Inc.)  "
"171 Bourbon Street (Prime Care, Inc.) ",North,171 Bourbon Street ,"Prime Care, Inc.) "
"171 Mullen Hill Road (Whole Life, Inc.)",North,171 Mullen Hill Road ,"Whole Life, Inc.)"
"171 Oakwood Drive (CCARC, Inc.)",North,171 Oakwood Drive ,"CCARC, Inc.)"
"171 Ridgecrest Circle (Alternative Services, Inc.)",North,171 Ridgecrest Circle ,"Alternative Services, Inc.)"
"172 Christian Hill Road (NEPS, Inc.) ",North,172 Christian Hill Road ,"NEPS, Inc.) "
1761 Main Street (Corporation for Public Management) ,North,1761 Main Street ,Corporation for Public Management) 
"18 Millbrook Lane (Continuum of Care, Inc.) ",North,18 Millbrook Lane ,"Continuum of Care, Inc.) "
"18 Thorne Road (RMS Development, Inc.) ",North,18 Thorne Road ,"RMS Development, Inc.) "
"180 Birch Street (Network, Inc.) ",North,180 Birch Street ,"Network, Inc.) "
"185 Pine Street, Apt. 703 (RMS Development, Inc.)",North,"185 Pine Street, Apt. 703 ","RMS Development, Inc.)"
"185 Pine Street, Apt. 714 (RMS Development, Inc.)",North,"185 Pine Street, Apt. 714 ","RMS Development, Inc.)"
"185 Pine Street, Apt. G008 (RMS Development, Inc.)",North,"185 Pine Street, Apt. G008 ","RMS Development, Inc.)"
"185 Pine Street, Apt. G18 (RMS Development, Inc.)",North,"185 Pine Street, Apt. G18 ","RMS Development, Inc.)"
"188 Hunter's Lane (RMS Development, Inc.) ",North,188 Hunter's Lane ,"RMS Development, Inc.) "
1899 Poquonock Avenue (VINFEN Connecticut) ,North,1899 Poquonock Avenue ,VINFEN Connecticut) 
"190 E. Brittany Farms Road (Catholic Charities Family Services, Inc.) ",North,190 E. Brittany Farms Road ,"Catholic Charities Family Services, Inc.) "
"191 Redstone Hill Road (Bristol ARC, Inc.)",North,191 Redstone Hill Road ,"Bristol ARC, Inc.)"
1910 Mount Vernon Road (OAK HILL) ,North,1910 Mount Vernon Road ,OAK HILL) 
"194 Putnam Turnpike (Whole Life, Inc.) ",North,194 Putnam Turnpike ,"Whole Life, Inc.) "
"195 Brewster Road (Jewish Association for Community Living, Inc.)",North,195 Brewster Road ,"Jewish Association for Community Living, Inc.)"
"195 Sprucebrook Rd (RMS Development, Inc.)",North,195 Sprucebrook Rd ,"RMS Development, Inc.)"
2 Adams Road (OAK HILL) ,North,2 Adams Road ,OAK HILL) 
"2 Cedar Ridge Drive (Key Human Services, Inc.) ",North,2 Cedar Ridge Drive ,"Key Human Services, Inc.) "
"2 Chesbro Bridge House (Whole Life, Inc.) ",North,2 Chesbro Bridge House ,"Whole Life, Inc.) "
"20 Arapahoe Road (Jewish Association for Community Living, Inc.)  ",North,20 Arapahoe Road ,"Jewish Association for Community Living, Inc.)  "
