TTE Fac ID,Record ID,Company name,Parent Company,Company owner,Create Date,Phone Number,Last Activity Date,City,Country/Region,Industry,Visit 1 Date,Visit 2 Date,Visit Number,Total Visits,TTE FacID,Nursing Station Number,Location Type,State/Region,Primary Identifier
103116,17719538962,TMN JACKSON (NO DH) (TN),,,2023-10-18 12:18,,,JACKSON,,,2023-10-17,,,,,,,TN,Client
103119,17719535179,SEVITA GREENEVILLE (NODH) (TN),,,2023-10-18 12:18,,,GREENEVILLE,,,2023-08-24,2023-10-04,,1; 2; 3,,,,TN,Client
103122,17719522837,TMN CROSSVILLE (NO DH) (TN),,,2023-10-18 12:18,,,CROSSVILLE,,,,,,,,,,TN,Client
103110,17719520341,TMN KNOXVILLE (TN) (NO DH),,,2023-10-18 12:18,,2023-11-20 15:39,KNOXVILLE,,,2023-08-10,2023-09-27,,1; 2; 3; 4; 5,,,,TN,Client
103120,17719500803,SEVITA GVILLE (THERAP)(NODH)TN,,,2023-10-18 12:18,,,GREENEVILLE,,,,,,,,,,TN,Client
103113,17719458095,TMN NASHVILLE (TN),,,2023-10-18 12:18,,,NASHVILLE,,,2023-08-22,2023-11-01,,,,,,TN,Client
103107,17719372190,TMN CHATTANOOGA(NODH) (TN),,,2023-10-18 12:18,,,CHATTANOOGA,,,2023-08-11,2023-09-26,,1; 2; 3,,,,TN,Client
103105,17719640373,TMN MARYVILLE (TN),,,2023-10-18 12:18,,,ALCOA,,,2023-08-10,2023-09-29,,1; 2; 3; 4,,,,TN,Client
102001,17719552004,MADISON HAY-BOLIVAR(NODH) (TN),,Amy Melton,2023-10-18 12:18,,,BOLIVAR,,,2023-08-23,2023-10-19,,1; 2; 3,,,,TN,Client
103102,17719530073,TMN COOKEVILLE (NODH) (TN),,,2023-10-18 12:18,,,COOKEVILLE,,,,,,,,,,TN,Client
102003,17719422520,MADISON HAY-SELMER(NO DH) (TN),,,2023-10-18 12:18,,,SELMER,,,,,,,,,,TN,Client
102007,17719410492,OPEN ARMS CARE (TN),,Amy Melton,2023-10-18 12:18,,2024-01-18 14:54,MEMPHIS,,,2023-10-18,2024-01-23,,1; 2,,,,TN,Client
299913,15582863515,INDEPENDENT - 13,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
299920,15582859412,INDEPENDENT - 20,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
299901,15582829400,INDEPENDENT - 01,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
299915,15582726564,INDEPENDENT - 15,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
299910,15582653776,INDEPENDENT - 10,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
299909,15582295941,INDEPENDENT - 09,,Casey Cushman,2023-04-26 14:42,8034383011,,Elgin,United States,,,,,,,,Agency,SC,Client
299907,15582264204,INDEPENDENT - 07,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
292607,15582849299,BABCOCK - 07,,Casey Cushman,2023-04-26 14:42,,,COLUMBIA,,,,,,,,,Agency,SC,Client
292622,15582824604,BABCOCK - 22,,Casey Cushman,2023-04-26 14:42,,,WEST COLUMBIA,,,,,,,,,Agency,SC,Client
292623,15582783260,BABCOCK - 23,,Casey Cushman,2023-04-26 14:42,,,WEST COLUMBIA,,,,,,,,,Agency,SC,Client
292615,15582745178,BABCOCK - 15,,Casey Cushman,2023-04-26 14:42,,,WEST COLUMBIA,,,,,,,,,Agency,SC,Client
292232,15582694686,LIFE CONNECTIONS (FW) - 01,,Casey Cushman,2023-04-26 14:42,,,ORFORD,,,,,,,,,Agency,NH,Client
292627,15582689540,BABCOCK - 27,,Casey Cushman,2023-04-26 14:42,,,WEST COLUMBIA,,,,,,,,,Agency,SC,Client
292628,15582285482,BABCOCK - 28,,Casey Cushman,2023-04-26 14:42,,,WEST COLUMBIA,,,,,,,,,Agency,SC,Client
292617,15582264203,BABCOCK - 17,,Casey Cushman,2023-04-26 14:42,,,WEST COLUMBIA,,,,,,,,,Agency,SC,Client
292233,15582248052,LIFE CONNECTIONS (MOT)- 01,,Casey Cushman,2023-04-26 14:42,,,ORFORD,,,,,,,,,Agency,NH,Client
292225,15582819459,MENTOR HM - 05,,Casey Cushman,2023-04-26 14:42,,,COLUMBIA,,,,,,,,,Agency,SC,Client
292230,15582750081,CARE@HOME- 01,,Casey Cushman,2023-04-26 14:42,,,GREENVILLE,,,,,,,,,Agency,SC,Client
292213,15582793084,EPWORTH - 01,,Casey Cushman,2023-04-26 14:42, +18032124793,,COLUMBIA,United States,,2023-08-09,,,1,,,Agency,SC,Client
292212,15582301601,MARION - 21,,Casey Cushman,2023-04-26 14:42,,,MARION,,,,,,,,,Agency,SC,Client
291521,15582829402,ORANGEBURG - CTH2s NORTH - 21,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
291611,15582788726,PICKENS - 11,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
291516,15582726563,ORANGEBURG - SLP - 16,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
292206,15582726562,THRIVE ICF - 01,,Casey Cushman,2023-04-26 14:42,,,MAULDIN,,,,,,,,,Agency,SC,Client
291618,15582295940,PICKENS - 18,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
291523,15582242998,ORANGEBURG - ICF - 23,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
291514,15582874981,ORANGEBURG - EAST SIDE - 14,,Casey Cushman,2023-04-26 14:42,,,,,,,,,,,,Agency,SC,Client
290415,15582711959,DORCHESTER - 15,,Casey Cushman,2023-04-26 14:42,,,SUMMERVILLE,,,,,,,,,Agency,SC,Client
290424,15582242999,DORCHESTER - 24,,Casey Cushman,2023-04-26 14:42,,,SUMMERVILLE,,,,,,,,,Agency,SC,Client
292231,12081240706,NEW FOUNDATIONS - 23,,Casey Cushman,2023-02-07 15:13,8642251628,2023-03-10 11:30,ANDERSON,United States,Civic & Social Organization,,,,,,,Agency,SC,Client
102025,10527305248,NIA ASSOCIATION (NO DH)(TN),,Amy Melton,2023-01-03 12:16,(931) 906-3993,2023-12-12 12:00,Clarksville,United States,Hospitals & Physicians Clinics,2023-11-21,2023-12-07,,,,,,TN,Client
9245,10250317451,ABUNDANT LIFE - MT. PLEASANT,,,2022-12-05 18:29,,,MT. PLEASANT,,,,,,,,,,TX,Client
9232,10250315937,ABUNDANT LIFE - DALLAS,,,2022-12-05 18:29,,,DALLAS,,,,,,,,,,TX,Client
9116,10249497002,PREMIEANT - MCALLEN,,,2022-12-05 18:29,,,MCALLEN,,,,,,,,,,TX,Client
9112,10250282373,PREMIEANT - SAN ANTONIO,,,2022-12-05 18:29,,,SAN ANTONIO,,,,,,,,,,TX,Client
9108,10249480039,PREMIEANT - NORTH AUSTIN,,,2022-12-05 18:29,,,AUSTIN,,,,,,,,,,TX,Client
9104,10249519909,PREMIEANT -SOUTH AUSTIN,,,2022-12-05 18:29,,,AUSTIN,,,,,,,,,,TX,Client
8253,10250267945,INTEGRATED COMM SERVICE-ABI,,,2022-12-05 18:29,,,ABILENE,,,,,,,,,,TX,Client
8250,10249456809,SOUTH TEXAS COM - MCALLEN,,,2022-12-05 18:29,,,MCALLEN,,,,,,,,,,TX,Client
8247,10250259558,SOUTH TEXAS COM - BEAUMONT,,,2022-12-05 18:29,,,BEAUMONT,,,,,,,,,,TX,Client
8243,10249514094,INTEGRATED COMM SERVICES-SPR,,,2022-12-05 18:29,,,SPRING,,,,,,,,,,TX,Client
8241,10250267943,SOUTH TEXAS COM - SAN ANTONIO,,,2022-12-05 18:29,,,SAN ANTONIO,,,,,,,,,,TX,Client
8239,10250309715,TEXAS HCS - HARLINGEN,,,2022-12-05 18:29,,,HARLINGEN,,,,,,,,,,TX,Client
7781,10250282372,IMAGINE ART,,,2022-12-05 18:29,,,AUSTIN,,,,,,,,,,TX,Client
7777,10249514093,A SIMPLE CHOICE,,,2022-12-05 18:29,,,CROSS ROADS,,,,,,,,,,TX,Client
7771,10250241046,INTEGRATED LIFE CHOICES- TEXAS,7609744736,,2022-12-05 18:29, +19363370030,,CONROE,United States,Hospital & Health Care,,,,,,,,TX,Client
7769,10249446168,"VITA LIVING, INC.",,,2022-12-05 18:29,,,HOUSTON,,,,,,,,,,TX,Client
7746,10250309714,TRIED AND TRUE  HOME CARE SERV,,,2022-12-05 18:29,,,WINDCREST,,,,,,,,,,TX,Client
