FacID,PharmID,FacName,FacStreet1,FacStreet2,FacCity,FacState,FacZip,FacAdminPhone
LATTE-202001,LATTE,VOA SOUTHEAST LOUISIANA,4152 CANAL STREET,,NEW ORLEANS,LA,70119,(504)486-8689
LATTE-202002,LATTE,BELIEVE THERAPEUTIC,713 WEST MAIN ST,,NEW ROADS,LA,70760,(225)638-3741
LATTE-202003,LATTE,ARC ACADIANA NEW IBERIA,6400 HWY 90 WEST,,NEW IBERIA,LA,70560,(337)367-6813
LATTE-202004,LATTE,ARC ACADIANA LAFAYETTE,2008 ERASTE LANDRY RD,,LAFAYETTE,LA,70506,(337)234-7254
LATTE-204501,LATTE,DDMS NOLA,2121 38TH STREET,,KENNER,LA,70065,(504)513-3159
LATTE-204503,LATTE,DDMS BATON ROUGE,2645 O'NEAL LANE,"BLDG A, STE A",BATON ROUGE,LA,70816,(225)767-2344
LATTE-204504,LATTE,DDMS MAMOU,101 3RD STREET,,MAMOU,LA,70554,(337)468-3061
KS2TTE-480111,KS2TTE,CLASS LTD 01,,,,KS,,(___)___-____
KS2TTE-480114,KS2TTE,DREAM VISION 01,9235 E. HARRY ST,,WICHITA,KS,67207,(316)243-4090
KS2TTE-480125,KS2TTE,GOODLIFE 01,770 N. SILVER SPRINGS BLVD,APT 503,WICHITA,KS,67212,(___)___-____
KS2TTE-480128,KS2TTE,HEARTLAND SUPPORTS 01,313 MUSE ST,,NEWTON,KS,11111,(111)111-1111
KS2TTE-480135,KS2TTE,MCDS 01,2107 INDUSTRIAL DRIVE,,MCPHERSON,KS,67460,(620)241-6693
KS2TTE-480140,KS2TTE,NEW BEGINNINGS MCPHERSON 01,891 VANGUARD ST,,MCPHERSON,KS,67460,(620)755-7057
KS2TTE-480143,KS2TTE,NEW HORIZONS 01,1813 S OHIO ST,,SALINA,KS,67401,(785)833-6540
KS2TTE-480146,KS2TTE,RESCARE INC 01,,,,KS,,(316)333-8386
KS2TTE-480151,KS2TTE,ROSEWOOD SERVICES 01,2120 11th Street,,GREAT BEND,KS,67530,(620)617-1677
KS2TTE-480163,KS2TTE,STARKEY INC 01,4500 W. MAPLE,,WICHITA,KS,67209,(316)512-4111
KS2TTE-480165,KS2TTE,SUCCESSFUL DREAMS 01,118 W. MYRTLE ST,,INDEPENDENCE,KS,67301,(620)330-2966
KS2TTE-480529,KS2TTE,JOURNEYS INC 05,501 MERCHANT ST,BOX A,EMPORIA,KS,66801,(620)757-6050
KS2TTE-480752,KS2TTE,ROSEWOOD SERVICES 07,2120 11th Street,,GREAT BEND,KS,67530,(620)617-1677
KS2TTE-481021,KS2TTE,FLINTHILLS 10,505 S. WALNUT VALLEY DR,,ELDORADO,KS,67042,(316)321-2325
KS2TTE-481223,KS2TTE,FLINTHILLS - CHART ONLY,505 S. WALNUT VALLEY DR,,ELDORADO,KS,67042,(316)322-5552
KS2TTE-481453,KS2TTE,ROSEWOOD SERVICES 14,2120 11th Street,,GREAT BEND,KS,67530,(620)617-1677
KS2TTE-481561,KS2TTE,STARKEY INC 15,4500 W. MAPLE,,WICHITA,KS,67209,(316)512-4111
KS2TTE-482022,KS2TTE,FLINTHILLS 20,505 S. WALNUT VALLEY DR,,ELDORADO,KS,67042,(316)322-5552
KS2TTE-482026,KS2TTE,GREAT PLAINS 05,2501 N MAIN ST,,NORTH NEWTON,KS,67117,(316)253-4558
KS2TTE-482038,KS2TTE,MOSAIC 20,124 W 3RD ST,,ELLSWORTH,KS,67439,(785)472-4081
KS2TTE-482071,KS2TTE,TRIVALLEY - MOLINE/EUREKA 20,116 N. MAIN ST,,MOLINE,KS,67353,(620)647-3602
KS2TTE-482099,KS2TTE,INDIVIDUALS 20,,,,KS,,(___)___-____
KS2TTE-482154,KS2TTE,ROSEWOOD SERVICES 21,2120 11th Street,,GREAT BEND,KS,67530,(620)282-5010
KS2TTE-482262,KS2TTE,STARKEY INC 22,4500 W. MAPLE,,WICHITA,KS,67209,(316)512-4111
KS2TTE-482572,KS2TTE,TRIVALLEY - NEODESHA 25,1001 WILSON,,NEODESHA,KS,66757,(620)647-3602
KS2TTE-482630,KS2TTE,LIFEWORKS 26,1855 S. ROCK RD,,WICHITA,KS,67207,(316)201-1203
KSTTE-SAMKS,KSTTE,TARRYTOWN EXPOCARE SAMPLE KS,1025 N 3RD ST,STE 110,LAWRENCE,KS,66044,(785)555-7896
KS2TTE-SAMKS2,KS2TTE,TARRYTOWN EXPOCARE KS2,7804 E FUNSTON ST,STE 203,WICHITA,KS,67207,(316)821-9646
LATTE-SAMLA,LATTE,TARRYTOWN EXPOCARE LA SAMPLE,201 EVANS ST,STE 301,NEW ORLEANS,LA,70123,(512)617-7312
SCEXPO-290401,SCEXPO,DORCHESTER - 01,818 N CEDAR ST,,SUMMERVILLE,SC,29483,(843)873-4850
