Alternate Company Name,Domain,Email,Locations
21 Plus Inc.,21plus.org,rsantoriello@21plus.org,3
Ablelight Inc,ablelight.org,AbleLight.NewJersey@ablelight.org,1
"Attentive Care Partners, LLC",abri.care,dshowers@abri.care,1
"ADEPT Programs, Inc.",adeptprograms.com,mainoffice@adeptprograms.com,1
ALFA Development Inc.,ALFADEVELOPMENT.ORG,IRECORD@ALFADEVELOPMENT.ORG,2
"Allegro School, Inc.",allegroschool.org,director@allegroschool.org,1
Allies Inc.,alliesnj.org,supportsprogram@alliesnj.org,8
"Alternatives, Inc.",alternativesinc.org,clientisp@alternativesinc.org,2
Association For The Multiple Impaired Blind,amib.net,info@amib.net,1
"APluscare, LLC",apluscarellc.com,info@apluscarellc.com,2
Arc of Atlantic County Inc.,arcatlantic.org,info@arcatlantic.org,1
Arc of Bergen / Passaic Counties,arcbp.com,irecord@arcbp.com,5
Arc Of Camden County,arccamden.org,arcotc@arccamden.org,8
Arc of Essex County Inc.,arcessex.org,communication@arcessex.org,8
Arc of Hunterdon County,archunterdon.org,info@archunterdon.org,3
Archway Programs,archwayprograms.org,ArchwayDDD@archwayprograms.org,2
Arc of Mercer County,arcmercer.org,dddinfo@arcmercer.org,5
The Arc Middlesex County,arc-middlesex.org,irecord@arc-middlesex.org,6
The Arc/Morris Chapter,arcmorrris.org,info@arcmorrris.org,3
"Arc of Ocean County, Inc.",arcocean.org,Medicaid@arcocean.org,6
Arc of Burlington County,arcofburlington.org,info@arcofburlington.org,4
Arc of Cape May County,arcofcapemay.org,author@arcofcapemay.org,2
The Arc of Monmouth,arcofmonmouth.org,supportsprogram@arcofmonmouth.org,7
Arc of Salem County,arcsalem.com,info@arcsalem.com,1
The Arc of Union County,arcunion.org,Arc_Supports_Waiver_Info@arcunion.org,4
Arc of Warren County,arcwarren.org,medicaid@arcwarren.org,3
"Attain &amp; Gain Counseling, LLC",attainandgain.com,romanr@attainandgain.com,1
"Avidd Community Services of New Jersey, Inc.",aviddnj.org,iRecords@aviddnj.org,1
Bancroft A New Jersey Nonprofit Corp,bancroft.org,dddcontract@bancroft.org,11
A.W. Holdings,benchmarkhs.com,info.nj@benchmarkhs.com,7
Broadway Group Home Llc,bghllc.com,IDDservices@bghllc.com,3
Broadstep Academy New Jersey Inc,broadstep.com,info@broadstep.com,4
Children's Aid and Family Services,cafsnj.org,servicedocs@cafsnj.org,1
Capitol Care Inc.,capitol-care.org,CCHousing@capitol-care.org,2
"Caring for Families Social Services NJ, LLC",caringforfamilies.net,vcheco@caringforfamilies.net,1
CARINGHOUSE Projects Inc,caringinc.org,billing@caringinc.org,1
Community Access Unlimited,caunj.org,DDDINFO@caunj.org,3
1st  Cerebral Palsy Of NJ,cerebralpalsycenter.org,dddinfo@cerebralpalsycenter.org,1
"Center for Family Support New Jersey, Inc",cfsny.org,DDDComms@cfsny.org,3
Center For Humanistic Change Of NJ Inc.,chcnj.org,paul@chcnj.org,1
Community Options Enterprises,comop.org,SDR_NJ@comop.org,26
Community Options Inc.,comop.org,moreinfo@comop.org,1
Advancing Opportunities,cpofnj.org,info@cpofnj.org,1
Community Quest Inc.,CQInc.org,supportsprogram@CQInc.org,1
"Special Needs Residence, LLC",cslal.com,mtbetheled@cslal.com,1
Delta Community Supports Inc.,Deltaweb.org,SupportsProgram@Deltaweb.org,1
Devereux Foundation,devereux.org,njispnotifications@devereux.org,13
"Department for Persons w/ Disabilities, Diocese of Paterson",dpd.org,iRecord@dpd.org,2
Dungarvin,dungarvin.com,NJ-irecord@dungarvin.com,5
Durand Inc.,durandac.org,supportsinfo@durandac.org,4
Easter Seals NJ,easterseals.com,supportsprogram@nj.easterseals.com,11
"Eden Autism Services, Inc.",edenautism.org,isp.support@edenautism.org,4
EIHAB Human Services,eihab.org,infoddd@eihab.org,1
Elwyn NJ,elwyn.org,njdddirecord@elwyn.org,6
Everas Community Services,everas.org,services@everas.org,5
Fordham-Lewis Consulting,fordham-lewisconsulting.org,angela@fordham-lewisconsulting.org,2
Heart to Heart Home Care,h2hhc.com,njbilling@h2hhc.com,2
HollyDell Inc.,hollydell.org,SupportsProgram@hollydell.org,6
Hope Christian Services,hopechristian.org,HCS@hopechristian.org,1
Skylands Center Offering Autism Programs,hotmail.com,executivedirector18@hotmail.com,1
Hudson Milestones,hudsonmilestones.org,hudson.milestones@hudsonmilestones.org,2
Innovative Life of New Jersey,innovativelifenj.org,info@innovativelifenj.org,1
Jewish Association for Developmental Disabilities,j-add.org,InfoDDD@j-add.org,1
Jespy House,jespy.org,supportsprogram@jespy.org,4
Jewish Federation of Southern NJ,Jfedsnj.Org,Spnjfcs@Jfedsnj.Org,2
Jewish Services for the DD,jsddmetrowest.org,info@jsddmetrowest.org,2
Kasefa Care LLC,kasefacarellc.com,cshannon@kasefacarellc.com,1
"Kelsch Associates, Inc.",kelschnj.com,admin@kelschnj.com,5
Keystone Community Resources,keycommres.com,NJ-Auth@keycommres.com,6
Keystone Community Living Inc.,keystonecomliving.com,ffs@keystonecomliving.com,1
Partnerships For People,khs.org,cpegeron@khs.org,1
Ladacin Network,ladacin.org,ExecutiveDirector@ladacin.org,4
Life Opportunities Unlimited,lifeopp.org,gail@lifeopp.org,1
Friends of Cyrus II Inc.,lifetimewithcyrus.com,preauthorizations@lifetimewithcyrus.com,4
Matheny Medical and Educational,matheny.org,dddserviceinquiries@matheny.org,2
Merakey,merakey.org,NJauthorizations@merakey.org,2
Midland Adult Services,midlandschool.org,MASINFO@midlandschool.org,2
Momcares Grouphome,momcareservices.com,admin@momcareservices.com,1
"New Concepts for Living, Inc",ncfl.net,service@ncfl.net,1
Neighbours Inc,neighbours-inc.com,cherryoakley@neighbours-inc.com,2
Mentor ABI,neurorestorative.com,debbora.bergman@neurorestorative.com,1
New Horizons In Autism,nhautism.org,billing@nhautism.org,5
NJ Community Development Corp,njcdc.org,housing@njcdc.org,1
Career Opportunity Development Center,njcodi.org,kgardner@njcodi.org,1
New Jersey Institute for Disabilities Inc.,njid.org,SupportsProgramCohort@njid.org,5
Oaks Integrated Care,oaksintcare.org,DDD_FFS@oaksintcare.org,2
Occupational Training Center Of Burlington County,otcbc.org,OTCBCintake@otcbc.org,5
Our House Inc.,ourhousenj.org,supports@ourhousenj.org,8
PAFACOM Inc.,pafacom.org,mvernamonti@pafacom.org,2
Princeton Child Development Institute,pcdi.org,FFS@pcdi.org,1
PennReach,pennreach.org,supports@pennreach.org,1
Cerebral Palsy of North Jersey,pillarnj.org,PillarCare@pillarnj.org,4
Platinum Hearts,platinumhearts.org,contact@platinumhearts.org,1
"QMANJ, Inc.",qmainc.com,plans@qmainc.com,2
"Quality Management Associates, Inc.",qmainc.com,plans@qmainc.com,2
"Reed Next, Inc",reednext.com,info@reednext.com,4
RESCARE,rescare.com,authorizations@rescare.com,3
"SCARC, Inc.",scarc.org,isp@scarc.org,12
"SCHI Disability Services, Inc.",schischool.org,sds@schischool.org,2
Search Day Program Inc.,searchdayprogram.com,ccentellas@searchdayprogram.com,2
"SERV Achievement Centers, Inc.",servbhs.org,authorizations@servbhs.org,3
"Premier Supports, LLC",sevitahealth.com,premiersupports@sevitahealth.com,2
REM-NJ Inc.,sevitahealth.com,REMNewJersey@sevitahealth.com,6
Spectrum for Living Development Inc.,spectrumforliving.org,info@spectrumforliving.org,5
Tender Care LLC,tender-care-llc.com,info@tender-care-llc.com,1
Arc of Gloucester County,thearcgloucester.org,supportsprogram@thearcgloucester.org,8
Arc of Somerset County,thearcofsomerset.org,laurenp@thearcofsomerset.org,4
Clifton Adult Opportunity Center,thecaoc.com,jodi@thecaoc.com,1
"The Special Children's Center, Inc.",thecenternj.org,grouphome@thecenternj.org,2
Hudson Hill Group,thehudsonhillgroup.com,jschwartz@thehudsonhillgroup.com,1
"The Open Door, LLC",theopendoornj.com,irecord@theopendoornj.com,4
Personalized Independent Living Opportunities and Training Services,thepilotservices.org,ffs@thepilotservices.org,4
The Rose House,therosehouse.org,tom@therosehouse.org,1
Universal Institute Inc.,uirehab.com,dddsupportsprogram@uirehab.com,2
"Volunteers of America Greater New York, Inc",voa-gny.org,kashley1@voa-gny.org,1
WAR Ministry Corp.,war-ministry.org,supportsprogram@war-ministry.org,1
"Windmill Alliance, Inc.",windmillalliance.org,info@windmillalliance.org,1
Woods Manor,woodsmanor.org,twoods@woodsmanor.org,1
National Institute for People with Disabilities of NJ,yai.org,nipdsupports@yai.org,4
"Youth Consultation Service, Inc.",ycs.org,DDAdultServices@ycs.org,1
