Email,Provider Name,Address,City,State,Zip,County,Phone,Services,Location Type
dddinfo@cerebralpalsycenter.org,1st  Cerebral Palsy Of NJ,7 Sanford Avenue,Belleville,NJ,"	07109",Essex,,"Community Based Supports,Community Inclusion Services,Individual Supports,Transportation",Admin/Service Delivery
rsantoriello@21plus.org,21 Plus Inc.,310 Main Street,Toms River,NJ,"	08753",Ocean,732.341.0863 x 225,Day Habilitation,Service Delivery
rsantoriello@21plus.org,21 Plus Inc.,"1900 Route 70,Suite 13",Manchester,NJ,"	08759",Ocean,732.364.0555 x 225,Day Habilitation,Service Delivery
rsantoriello@21plus.org,21 Plus Inc.,"1900 Route 70,Suite 12",Manchester,NJ,"	08759",Ocean,732.240.3118 x 225,"Behavioral Supports,Community Based Supports,Community Inclusion Services,Prevocational Training,Respite,Supported Employment - Individual,Supported Employment - Small Group,Transportation",Admin/Service Delivery
info.nj@benchmarkhs.com,A.W. Holdings,2556 Mart Ave.,Vineland,NJ,"	08361",Cumberland,,Individual Supports,Service Delivery
info.nj@benchmarkhs.com,A.W. Holdings,1940 S West Blvd,Vineland,NJ,"	08360",Cumberland,856.457.8001 x 0,"Behavioral Supports,Career Planning,Community Based Supports,Community Inclusion Services,Day Habilitation,Occupational Therapy,Prevocational Training,Respite,Supported Employment - Individual,Transportation",Service Delivery
info.nj@benchmarkhs.com,A.W. Holdings,"617 Auburn Road - Sweedsboro,Ste 101",Swedesboro,NJ,"	08085",Gloucester,,Day Habilitation,Service Delivery
info.nj@benchmarkhs.com,A.W. Holdings,2384 Landis Ave,Vineland,NJ,"	08361",Cumberland,,"Behavioral Supports,Occupational Therapy,Physical Therapy,Transportation",Service Delivery
info.nj@benchmarkhs.com,A.W. Holdings,2384 Landis Ave,Vineland,NJ,"	08361",Cumberland,,"Behavioral Supports,Career Planning,Community Inclusion Services,Day Habilitation,Individual Supports,Occupational Therapy,Physical Therapy,Prevocational Training,Supported Employment - Individual,Transportation",Service Delivery
info.nj@benchmarkhs.com,A.W. Holdings,3322 Route 22 West,Branchburg,NJ,"	08876",Somerset,908.829.3553 x 0,"Behavioral Supports,Career Planning,Community Based Supports,Community Inclusion Services,Day Habilitation,Individual Supports,Occupational Therapy,Prevocational Training,Respite,Supported Employment - Individual,Transportation",Admin/Service Delivery
info.nj@benchmarkhs.com,A.W. Holdings,3455 State Route 66 Ste 3A,Neptune,NJ,"	07753",Monmouth,260.744.6145 x 0,Day Habilitation,Service Delivery
AbleLight.NewJersey@ablelight.org,Ablelight Inc,1069 Ringwood Ave Ste 301-22,Haskell,NJ,"	07420",Passaic,973.831.4088 x 0,"Behavioral Supports,Individual Supports",Admin/Service Delivery
mainoffice@adeptprograms.com,"ADEPT Programs, Inc.",111 High St,Mount Holly,NJ,"	08060",Burlington,,"Behavioral Supports,Community Based Supports,Community Inclusion Services,Individual Supports,Interpreter Services,Natural Supports Training,Speech, Language & Hearing Therapy",Admin/Service Delivery
info@cpofnj.org,Advancing Opportunities,610 Beverly-Rancocas,Willingboro,NJ,"	08046",Mercer,609.882.4182 x 0,"Assistive Technology,Behavioral Supports,Career Planning,Cognitive Rehabilitation,Community Based Supports,Community Inclusion Services,Individual Supports,Natural Supports Training,Occupational Therapy,PERS,Prevocational Training,Respite,Speech, Language & Hearing Therapy,Supported Employment - Individual,Supported Employment - Small Group,Transportation",Admin/Service Delivery
IRECORD@ALFADEVELOPMENT.ORG,ALFA Development Inc.,2950 Route 23,Newfoundland,NJ,"	07435",Passaic,973.697.1010 x 0,Day Habilitation,Service Delivery
IRECORD@ALFADEVELOPMENT.ORG,ALFA Development Inc.,39 Oak Ridge Rd,Newfoundland,NJ,"	07435",Passaic,,"Behavioral Supports,Cognitive Rehabilitation,Community Based Supports,Community Inclusion Services,Day Habilitation,Individual Supports,Natural Supports Training,Speech, Language & Hearing Therapy,Transportation",Admin/Service Delivery
alfaservices17@gmail.com,Alfa Services,10 Lakeside Avenue,Cherry Hill,NJ,"	08003",Camden,856.428.1101 x 0,Individual Supports,Admin/Service Delivery
director@allegroschool.org,"Allegro School, Inc.","60 East Hanover Avenue,Bldg A",Morris Plains,NJ,"	07950",Morris,973.267.8060 x 0,"Behavioral Supports,Community Based Supports,Community Inclusion Services,Day Habilitation,Individual Supports,Prevocational Training,Respite,Supported Employment - Individual,Supported Employment - Small Group,Transportation",Admin/Service Delivery
supportsprogram@alliesnj.org,Allies Inc.,"1 Church Street, Unit 31",Flemington,NJ,"	08822",Hunterdon,,Day Habilitation,Service Delivery
supportsprogram@alliesnj.org,Allies Inc.,"580 North Main Street,Unit 10",Barnegat,NJ,"	08005",Ocean,,Day Habilitation,Service Delivery
supportsprogram@alliesnj.org,Allies Inc.,1262 Whitehorse Hamilton Square Rd Ste 101,Hamilton Square,NJ,"	08690",Mercer,,"Behavioral Supports,Career Planning,Community Based Supports,Community Inclusion Services,Individual Supports,Interpreter Services,Natural Supports Training,Prevocational Training,Supported Employment - Individual,Supported Employment - Small Group,Transportation",Admin/Service Delivery
supportsprogram@alliesnj.org,Allies Inc.,326 Route 22 West,Green Brook,NJ,"	08812",Middlesex,,Day Habilitation,Service Delivery
supportsprogram@alliesnj.org,Allies Inc.,31 High Street,Mount Holly,NJ,"	08060",Burlington,,Day Habilitation,Service Delivery
