TTE Served,Framework,New / Existing ,Type,Address,City,State,# of Individuals,Notes
TTE,Yes,Existing,,33 OLD COLCHESTER RD,AMSTON,CT,1,
TTE,Yes,Existing,,142 BEAR SWAMP RD,ANDOVER,CT,3,
,,Existing,ICF,1 Bruns Road,ANSONIA,CT,6,
TTE,Yes,Existing,,2 ADAMS RD,BLOOMFIELD,CT,4,
TTE,Yes,Existing,ICF,545 BLOOMFIELD AVE,BLOOMFIELD,CT,6,Named Gillette in DOMO
,,Existing,,225 Duncaster Road,BLOOMFIELD ,CT,6,
,,Existing,,21 Rosewood Lane,BOLTON ,CT,3,
TTE,Yes,Existing,,137 CAROLINE RD,BOZRAH,CT,6,
,,Existing,,274 Brewster Road,BRISTOL ,CT,6,
TTE,Yes,Existing,,60 NEPAUG RD,BURLINGTON,CT,6,
,,Existing,,115 Davis Road,BURLINGTON ,CT,6,
,,Existing,ICF,8 Carriage Drive,BURLINGTON ,CT,6,
,,Existing,,83 DYER AVE,COLLINSVILLE,CT,5,
,,Existing,,510 STONEHOUSE RD,COVENTRY ,CT,6,
TTE,Yes,Existing,,47 OLD TOWN RD,EAST HARTLAND,CT,6,
,,Existing,,123 Mountain Rd,EAST HARTLAND,CT,6,
,,Existing,ICF,1 Avon Street,ENFIELD ,CT,6,
,,Existing,ICF,11 West Meath Ln ,FARMINGTON ,CT,,
TTE,Yes,Existing,,2716 HEBRON AVE,GLASTONBURY,CT,6,
,,Existing,,854 Mott Hill Road,GLASTONBURY ,CT,6,
TTE,Yes,Existing,ICF,1 JUNIPER DRIVE,GRANBY,CT,5,
TTE,Yes,Existing,ICF,25 NORTH CHURCH ST,GRANBY,CT,6,
,,Existing,,47 Old Town Road,HARTLAND ,CT,6,
TTE,Yes,Existing,,181 HILL RD,HARWINTON,CT,6,
,,Existing,,33 Old Colchester Rd,HEBRON ,CT,,
TTE,Yes,Existing,,158 BASCOM RD,LEBANON,CT,6,
,,Existing,,92 CLARK RD,LEBANON,CT,1,Wasn't on the list
TTE,Yes,Existing,,62 ROSSETTO DR,MANCHESTER,CT,4,
TTE,Yes,Existing,,64 ROSSETTO DR,MANCHESTER,CT,1,
TTE,Yes,Existing,,96 BROOKSIDE LANE,MANSFIELD,CT,3,
,,Existing,,7 George Street,MIDDLEBURY ,CT,6,
,,Existing,,20 Pheasant Drive,MIDDLETOWN ,CT,6,
,,Existing,ICF,544 Moose Hill,MONROE ,CT,6,
,,Existing,,103 Highland Ave,NEW HARTFORD ,CT,,
,,Existing,,98 Cedar Street,NEWINGTON ,CT,8,
,,Existing,,26 Sherwood Lane,NORWICH ,CT,6,
,,Existing,,316 Hotchkiss Road,ORANGE ,CT,4,
,,Existing,,425 DOGWOOD,ORANGE ,CT,4,
,,Existing,,87 SILVER MANOR RD,ORANGE ,CT,4,
,,Existing,ICF,55 Pisgah Road,OXFORD ,CT,6,
TTE,Yes,Existing,,344 SOUTH ST,PLYMOUTH,CT,6,
,,Existing,,210 Hayes Road,ROCKY HILL ,CT,4,
,,Existing,ICF,34 Cloverdale Avenue,SHELTON,CT,6,
,,Existing,,24 EVANS DRIVE,SIMSBURY ,CT,,
TTE,Yes,Existing,ICF,90 SADDLEBROOK PATH,SOUTHINGTON,CT,4,
,,Existing,,1910 Mount Vernon Road,SOUTHINGTON ,CT,3,
,,Existing,,12 Quail Run,SUFFIELD ,CT,5,
,,Existing,,263 Valley View Road,THOMASTON ,CT,6,
TTE,Yes,Existing,,117 WYOMING AVE,TORRINGTON,CT,6,
TTE,Yes,Existing,,445 NEW HARWINTON RD,TORRINGTON,CT,1,
,,Existing,,Torrington 11 Silver Fox Ln,TORRINGTON ,CT,,
,,Existing,,100 Stoneridge Road,TORRINGTON ,CT,5,
TTE,Yes,Existing,,11 WESTMEATH LANE,UNIONVILLE,CT,5,listed as Farmington- 1 inactive ? Why
,,Existing,,100 Valley Falls Road,VERNON,CT,6,
,,Existing,,120 WARREN AVE,VERNON,CT,6,
TTE,Yes,Existing,,135 BIRCHFIELD DR,WATERBURY,CT,6,
,,Existing,,126 Southwest Rd,WATERBURY,CT,3,
,,Existing,,503 Bucks hill Rd,WATERBURY,CT,6,
,,,,Waterbury 2457 East Main St,WATERBURY ,CT,,
,,Existing,,107 Gail Drive,WATERBURY ,CT,5,
TTE,Yes,Existing,,2440 LITCHFIELD RD,WATERTOWN,CT,5,
,,Existing,,210 Georgetown Dr,WATERTOWN,CT,6,
,,Existing,,96 Brierwood Ave,WATERTOWN,CT,3,
,,Existing,,103 Prospect Street,WATERTOWN ,CT,6,
TTE,Yes,Existing,,1 HICKORY HILL WAY,GRANBY,CT,6,
TTE,Yes,Existing,ICF,88 BURNHAM DR,WEST HARTFORD,CT,3,
TTE,,Existing,ICF,765 PROSPECT ST,WETHERSFIELD,CT,0,went to Hancock
,,Existing,,48 Elm Street,WINDSOR,CT,6,
TTE,Yes,Existing,,42 MALONEY COURT,WINSTED,CT,2,
