Provider Email,Facility Name,Facility ID,Program Type,State Region,HHSC SubOffice,County,Service  Type,Facility  Licensed,Facility Certified,License No,License Effective Date,License Expiration Date,Physical Address,Physical Address CITY,Physical Address State,Physical Address Zipcode,Geo Location,Facility Phone Number,Facility Fax,Medicare Provider Number,Medicaid Provider Number,Total Licensed Capacity,Licensed Only Beds,Medicaid Only Beds,Medicare Only Beds,Medicaid / Medicare Beds,Alzheimer Capacity,ICFIID Beds,Owner_,Type of Entity,Owner Mailing1,Owner Mailing City,Owner Mailing STATE,Owner Mailing Zipcode,Owner PHONE,Owner FAX,Administrator,Management Company_
licenses@brightspringhealth.com,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,3868,ICF/IID,4,ICF/IID TEAM,ANDERSON,PRIVATELY OWNED,YES,YES,146727,1/1/2024,1/1/2027,208 FM 1817,ELKHART,TX,75839,"31.626009,-95.571075",(903) 723-0100,,,,6,0,0,0,0,0,6,BRIGHTSPRING HEALTH HOLDINGS CORP,FOR-PROFIT CORPORATION,9901  LINN STATION RD,LOUISVILLE,KY,40223,,,AUNDREIA HUBERT,
licenses@brightspringhealth.com,CRESTVIEW COMMUNITY HOME,7294,ICF/IID,4,ICF/IID TEAM,ANDERSON,PRIVATELY OWNED,YES,YES,146582,1/1/2022,1/1/2025,216 CREST DR,PALESTINE,TX,75801-7360,"31.777865,-95.609615",(903) 729-1898,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,KATHY NEWSOME,
licenses@brightspringhealth.com,MAVERICK COMMUNITY HOME,3685,ICF/IID,4,ICF/IID TEAM,ANDERSON,PRIVATELY OWNED,YES,YES,146579,1/1/2022,1/1/2025,427 MAVERICK DR,PALESTINE,TX,75801,"31.730367,-95.616842",(903) 723-0777,(713) 622-9141,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,KATHY NEWSOME,
licenses@brightspringhealth.com,REDWOOD TERRACE COMMUNITY HOME,7456,ICF/IID,4,ICF/IID TEAM,ANDERSON,PRIVATELY OWNED,YES,YES,146699,1/1/2022,1/1/2025,115 REDWOOD DR,PALESTINE,TX,75801,"31.742359,-95.611643",(903) 874-6543,(713) 622-9141,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,KATHY NEWSOME,
licenses@brightspringhealth.com,WESTWOOD COMMUNITY HOME,3928,ICF/IID,4,ICF/IID TEAM,ANDERSON,PRIVATELY OWNED,YES,YES,146777,1/1/2022,1/1/2025,219 BROOKVIEW LN,PALESTINE,TX,75801,"31.737437,-95.68299",(903) 729-8711,(713) 622-9141,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,KATHY NEWSOME,
,DIBOLL HOUSE,7606,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,GOVERNMENT BASED,NO,YES,,,,200 STUBBLEFIELD,DIBOLL,TX,75941,"31.183586,-94.77455",(409) 639-1636,,,,6,0,0,0,0,0,6,,,,,,,,,,
web@cg-idd.com,510 JEFFERSON,7534,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,PRIVATELY OWNED,YES,YES,147974,9/1/2021,9/1/2024,510 JEFFERSON,LUFKIN,TX,75901,"31.334665,-94.737423",(800) 299-5161,(817) 447-3033,,,6,0,0,0,0,0,6,"ST GILES LIVING CENTERS, INC",FOR-PROFIT CORPORATION,3010 S FIRST,LUFKIN,TX,75901,(936) 639-1615,(936) 639-1632,KIMBERLY WELCH,
,CUNNINGHAM HOUSE,7355,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,GOVERNMENT BASED,NO,YES,,,,1010 CUNNINGHAM RD,LUFKIN,TX,75901,"31.332633,-94.703043",(409) 634-2257,,,,6,0,0,0,0,0,6,,,,,,,,,,
web@cg-idd.com,HOWARD HOUSE,7522,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,PRIVATELY OWNED,YES,YES,148265,9/1/2021,9/1/2024,2007 HOWARD STREET,LUFKIN,TX,75901,"31.325583,-94.703111",(800) 299-5161,(817) 447-3033,,,6,0,0,0,0,0,6,"ST GILES LIVING CENTERS, INC",FOR-PROFIT CORPORATION,3010 S FIRST,LUFKIN,TX,75901,(936) 639-1615,(936) 639-1632,KIMBERLY WELCH,
licenses@brightspringhealth.com,HUDSON COMMUNITY HOME,3857,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,PRIVATELY OWNED,YES,YES,146634,1/1/2024,1/1/2027,164 FREEMAN CEMETERY RD,LUFKIN,TX,75904,"31.326594,-94.794273",(936) 875-3078,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,ERICA DAGGETT,
web@cg-idd.com,KARLA HOUSE,7439,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,PRIVATELY OWNED,YES,YES,148203,9/1/2021,9/1/2024,107 KARLA DR,LUFKIN,TX,75901,"31.29877,-94.700955",(800) 299-5161,(817) 447-3033,,,6,0,0,0,0,0,6,"ST GILESBAYTOWN, INC",FOR-PROFIT CORPORATION,3010 S FIRST,LUFKIN,TX,75901,(281) 837-1942,(281) 427-0586,KIMBERLY WELCH,
web@cg-idd.com,MARKUS HOUSE,7406,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,PRIVATELY OWNED,YES,YES,148004,9/1/2021,9/1/2024,912 MARKUS,LUFKIN,TX,75901,"31.332173,-94.74397",(800) 299-5161,(817) 447-3033,,,6,0,0,0,0,0,6,"ST GILES LIVING CENTERS, INC",FOR-PROFIT CORPORATION,3010 S FIRST,LUFKIN,TX,75901,(936) 639-1615,(936) 639-1632,KIMBERLY WELCH,
licenses@brightspringhealth.com,SOUTHWOOD COMMUNITY HOME,3869,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,PRIVATELY OWNED,YES,YES,146589,1/1/2021,1/1/2024,1500 SOUTHWOOD,LUFKIN,TX,75904,"31.316834,-94.740226",(409) 639-6906,(936) 639-5063,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,DAMON WALLACE,
licenses@brightspringhealth.com,STECHER COMMUNITY HOME,3898,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,PRIVATELY OWNED,YES,YES,146639,1/1/2021,1/1/2024,702 MARION ST,LUFKIN,TX,75904,"31.328418,-94.747387",(936) 639-6998,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,DAMON WALLACE,
licenses@brightspringhealth.com,WESTSIDE COMMUNITY HOME,3862,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,PRIVATELY OWNED,YES,YES,146133,9/23/2023,9/23/2026,6895 FM 3150,LUFKIN,TX,75904,"31.350975,-94.787604",(936) 639-1575,(936) 639-5063,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,JULIE PURCELL,
licenses@brightspringhealth.com,WHITE DOVE COMMUNITY HOME,3899,ICF/IID,4,REGION 5 ICF/IID,ANGELINA,PRIVATELY OWNED,YES,YES,146878,1/1/2021,1/1/2024,462 WHITE DOVE DRIVE,LUFKIN,TX,75904-9798,"31.292184,-94.633051",(936) 824-4422,,,,6,0,0,0,0,0,6,EDUCARE COMMUNITY LIVING LIMITED PARTNERSHIP,LIMITED PARTNERSHIP,"805 N WHITTINGTON PARKWAY, SUITE 400",LOUISVILLE,KY,40222,(409) 840-9111,(502) 394-2285,DAMON WALLACE,
